n,family_income_n_spatial_household_income_rank,mobility,child_rank
172,11,1,43.3895348837209
174,14,1,45.7988505747127
179,4,1,41.9385474860335
180,13,1,42.8388888888889
182,19,1,47.1373626373626
185,12,1,40.5459459459459
187,9,1,42.1604278074866
188,1,1,37.2446808510638
188,17,1,47.3404255319149
189,8,1,40.5978835978836
193,18,1,46.8652849740933
194,25,1,50.2371134020619
197,3,1,40.7208121827411
199,6,1,42.6180904522613
199,33,1,49.7638190954774
201,15,1,44.8507462686567
201,20,1,49.726368159204
204,26,1,47.2254901960784
204,30,1,46.671568627451
205,32,1,47.9609756097561
206,27,1,52.1456310679612
208,16,1,48.1490384615385
210,23,1,46.6
210,35,1,50.7190476190476
211,28,1,51.7677725118483
211,36,1,50.0900473933649
212,37,1,51.2169811320755
212,39,1,51.6462264150944
215,34,1,49.7255813953488
217,5,1,44.1612903225807
217,43,1,52.6774193548387
218,21,1,47.3623853211009
219,22,1,50.2648401826484
220,7,1,44.4636363636364
223,10,1,43.7309417040359
223,24,1,49.6636771300449
226,31,1,52.8628318584071
232,46,1,49.6077586206897
232,50,1,50.8922413793103
232,99,0,69.5991379310345
234,40,1,48.4059829059829
235,100,0,71.0382978723404
236,2,1,42.1483050847458
236,48,1,50.8050847457627
236,57,1,53.4872881355932
239,44,1,49.7364016736402
240,96,0,67.8708333333333
241,41,1,47.7136929460581
243,97,0,65.5514403292181
246,29,1,47.0081300813008
247,60,1,55.6072874493927
249,56,1,55.6024096385542
249,98,0,66.6546184738956
250,45,1,54.168
250,53,1,51.86
255,49,1,49.721568627451
255,64,1,56.921568627451
257,38,1,50.0583657587549
257,42,1,51.1050583657588
258,55,1,55.2519379844961
258,59,1,54.5968992248062
259,51,1,54.0849420849421
261,62,1,51.1800766283525
261,71,1,58.352490421456
263,58,1,54.0304182509506
264,52,1,52.2272727272727
266,61,1,55.1428571428572
267,54,1,52.1535580524345
267,69,1,58.2059925093633
267,95,0,61.6142322097378
270,93,0,60.8296296296296
274,92,0,59.3540145985402
278,47,1,48.9712230215827
281,94,0,60.7330960854093
282,87,0,58.2269503546099
283,63,1,56.9752650176678
283,67,1,55.7879858657244
284,77,1,58.0704225352113
285,73,1,55.7122807017544
288,65,1,55.8784722222222
288,84,0,57.8715277777778
291,68,1,57.7250859106529
291,88,0,59.3161512027491
291,90,0,54.7147766323024
294,66,1,59.0102040816327
294,91,0,62.0646258503401
298,72,1,60.0671140939597
301,85,0,55.6744186046512
303,78,1,61.4851485148515
304,79,0,56.2269736842105
307,74,1,58.4625407166124
307,76,1,60.2931596091205
307,89,0,57.7524429967427
308,75,1,58.8181818181818
313,70,1,54.3099041533546
313,86,0,58.1693290734824
315,81,0,55.9714285714286
318,80,0,55.1383647798742
319,83,1,64.4043887147335
324,82,1,61.6604938271605
325,81,1,60.8769230769231
326,82,0,57.6196319018405
328,83,0,56.8323170731707
329,80,1,60.8814589665654
333,70,0,53.7387387387387
333,86,1,63.1621621621622
338,75,0,52.9526627218935
338,76,0,54.6183431952663
339,74,0,53.882005899705
340,89,1,65.7323529411765
341,79,1,61.7126099706745
343,78,0,55.9154518950437
344,85,1,66.1744186046512
347,72,0,51.0979827089337
351,91,1,65.4957264957265
352,66,0,49.0625
354,88,1,65.7514124293785
355,68,0,50.6056338028169
356,90,1,66.3567415730337
357,84,1,63.7142857142857
359,65,0,51.7688022284123
360,67,0,50.6583333333333
360,73,0,51.7666666666667
362,63,0,46.7016574585635
363,77,0,56.1432506887052
363,87,1,62.9173553719008
363,94,1,67.9972451790634
365,47,0,44.6739726027397
372,92,1,64.6263440860215
375,93,1,64.896
378,54,0,49.6931216931217
379,69,0,54.7150395778364
380,61,0,50.0552631578947
381,52,0,48.9606299212599
381,95,1,68.8031496062992
383,58,0,49.6945169712794
383,62,0,49.934725848564
386,51,0,46.4766839378238
386,71,0,51.2461139896373
388,38,0,45.7835051546392
388,55,0,46.4046391752577
389,49,0,46.4550128534704
390,59,0,50.9307692307692
390,64,0,48.6897435897436
391,42,0,46.5959079283888
395,45,0,46.3392405063291
397,53,0,49.4659949622166
397,56,0,49.448362720403
397,98,1,71.1536523929471
399,29,0,45.2305764411028
400,60,0,48.5825
401,97,1,70.8354114713217
404,41,0,43.5420792079208
405,44,0,46.4197530864198
406,96,1,69.9261083743842
407,57,0,50.7714987714988
408,2,0,32.031862745098
413,40,0,43.0484261501211
413,48,0,47.0048426150121
413,99,1,71.0411622276029
415,46,0,45.9084337349398
417,31,0,41.779376498801
417,50,0,46.8369304556355
417,100,1,72.5443645083933
424,7,0,34.6981132075472
424,10,0,37.1297169811321
424,24,0,41.3985849056604
426,22,0,41.3967136150235
427,21,0,41.1592505854801
428,43,0,46.2733644859813
429,34,0,43.5757575757576
430,5,0,37.0511627906977
433,37,0,45.2748267898383
433,39,0,42.1200923787529
435,28,0,41.8781609195402
435,35,0,41.5724137931035
436,23,0,43.4701834862385
437,36,0,44.9610983981693
438,16,0,41.0570776255708
440,26,0,43.775
440,27,0,42.4045454545455
441,32,0,44.4557823129252
445,15,0,39.2112359550562
445,20,0,41.6651685393258
446,30,0,41.7869955156951
446,33,0,43.2757847533632
449,6,0,35.1336302895323
450,3,0,34.6244444444444
452,25,0,39.8517699115044
453,1,0,31.551876379691
455,8,0,35.9714285714286
455,18,0,43.0153846153846
456,17,0,42.8179824561404
460,9,0,34.6173913043478
462,12,0,37.6883116883117
464,19,0,40.4827586206897
465,4,0,35.4516129032258
467,13,0,38.0235546038544
469,14,0,39.4008528784648
472,11,0,37.2457627118644
