n,family_ventile,share,variable,value
912,3,0.0346267750018984,origin_dep_rank,50.0230625740121
912,3,0.0346267750018984,destin_dep_rank,50.5807991840326
972,4,0.0369048523046549,origin_dep_rank,50.2836650979369
972,4,0.0369048523046549,destin_dep_rank,50.5830305839194
1017,1,0.0386134102817222,origin_dep_rank,50.2675327143059
1017,1,0.0386134102817222,destin_dep_rank,51.7187921955294
1018,2,0.0386513782367682,origin_dep_rank,50.4213490175261
1018,2,0.0386513782367682,destin_dep_rank,52.241041164066
1055,7,0.040056192573468,origin_dep_rank,50.4671720121438
1055,7,0.040056192573468,destin_dep_rank,50.9102776711315
1064,5,0.0403979041688815,origin_dep_rank,50.3988138092931
1064,5,0.0403979041688815,destin_dep_rank,51.0653621454059
1071,6,0.0406636798542031,origin_dep_rank,50.3859119115845
1071,6,0.0406636798542031,destin_dep_rank,50.992432018923
1126,8,0.0427519173817298,origin_dep_rank,50.2849939711188
1126,8,0.0427519173817298,destin_dep_rank,50.5980998984523
1204,9,0.0457134178753132,origin_dep_rank,50.6422289691567
1204,9,0.0457134178753132,destin_dep_rank,51.0125911622454
1233,10,0.0468144885716455,origin_dep_rank,50.8224308717252
1233,10,0.0468144885716455,destin_dep_rank,50.7463566070325
1253,12,0.0475738476725644,origin_dep_rank,50.9459130035141
1253,12,0.0475738476725644,destin_dep_rank,51.3734181623112
1298,11,0.0492824056496317,origin_dep_rank,50.8651187237063
1298,11,0.0492824056496317,destin_dep_rank,51.0933304320325
1353,13,0.0513706431771585,origin_dep_rank,51.1062293161346
1353,13,0.0513706431771585,destin_dep_rank,51.3022364975234
1448,14,0.0549775989065229,origin_dep_rank,50.9732719449448
1448,14,0.0549775989065229,destin_dep_rank,51.7372002135722
1459,15,0.0553952464120282,origin_dep_rank,51.4461071252702
1459,15,0.0553952464120282,destin_dep_rank,52.0958611843818
1564,16,0.0593818816918521,origin_dep_rank,51.5683137326802
1564,16,0.0593818816918521,destin_dep_rank,52.1124043789409
1669,17,0.0633685169716759,origin_dep_rank,51.3417257749186
1669,17,0.0633685169716759,destin_dep_rank,52.6461382318097
1746,18,0.0662920495102134,origin_dep_rank,51.6209980232375
1746,18,0.0662920495102134,destin_dep_rank,53.2980173759162
1842,19,0.0699369731946237,origin_dep_rank,52.6151557408446
1842,19,0.0699369731946237,destin_dep_rank,54.1041701471591
2034,20,0.0772268205634445,origin_dep_rank,53.6639888528441
2034,20,0.0772268205634445,destin_dep_rank,55.9863947651759
