family_quintile,child_quintile,n,share,pct,boot_se
1,1,4111,0.318435321456236,31.8%,0.00411939132009293
1,2,3149,0.243919442292796,24.4%,0.00351986326029672
1,3,2586,0.200309837335399,20%,0.00323995949681163
1,4,1810,0.140201394268009,14%,0.00329549348014654
1,5,1254,0.09713400464756,9.7%,0.00318154306879259
2,1,3005,0.232711221249903,23.3%,0.0037565047195645
2,2,2989,0.231472159838922,23.1%,0.00383140727612969
2,3,2869,0.222179199256563,22.2%,0.00368227029253742
2,4,2390,0.185084798265314,18.5%,0.00354665543029972
2,5,1660,0.128552621389298,12.9%,0.00330826789633782
3,1,2479,0.191917627932182,19.2%,0.00343976642693247
3,2,2681,0.207555934040412,20.8%,0.00352025823403542
3,3,2926,0.226523186498413,22.7%,0.00359610622292069
3,4,2775,0.214833165595727,21.5%,0.00352573982736536
3,5,2056,0.159170085933266,15.9%,0.00328252105862505
4,1,1931,0.149539224037791,15%,0.00327696903264747
4,2,2346,0.181677379385116,18.2%,0.00327876737838406
4,3,2596,0.201037713931697,20.1%,0.00347301340738074
4,4,3049,0.236118640130101,23.6%,0.00351875175385678
4,5,2991,0.231627042515295,23.2%,0.00370538802779792
5,1,1384,0.107137327759715,10.7%,0.0027039505001331
5,2,1748,0.135315064251432,13.5%,0.00302546382338184
5,3,1940,0.150178046137173,15%,0.00317737353394974
5,4,2889,0.223641430562007,22.4%,0.00343267568043183
5,5,4957,0.383728131289673,38.4%,0.00374404866080362
