sample,age,estimate,group,n,coef,se,df,boot_se
All Employee Panel,20,IGE,IGE/RRC,19746,-0.39740923162878,0.0212184132402238,19740,0.0220553084970106
All Employee Panel,20,RRC,IGE/RRC,19746,-0.163634699088836,0.0070211706884878,19740,0.00691131880873266
All Employee Panel,20,TM,Bot->Bot,19746,0.195084874588295,,,0.00584063022626692
All Employee Panel,20,TM,Bot->Top,19746,0.254370407904738,,,0.00636721972479614
All Employee Panel,20,TM,Top->Bot,19746,0.252341179448241,,,0.00623575219589721
All Employee Panel,20,TM,Top->Top,19746,0.0959250822576563,,,0.00466402962624056
All Employee Panel,21,IGE,IGE/RRC,27836,-0.416808890614607,0.0183760096758287,27829,0.020796373098561
All Employee Panel,21,RRC,IGE/RRC,27837,-0.161905836416228,0.0059151449244486,27830,0.00602299040941672
All Employee Panel,21,TM,Bot->Bot,27837,0.191374663072776,,,0.00506083762787813
All Employee Panel,21,TM,Bot->Top,27837,0.229649595687332,,,0.00542356178175563
All Employee Panel,21,TM,Top->Bot,27837,0.281687612208259,,,0.00557290161308749
All Employee Panel,21,TM,Top->Top,27837,0.10197486535009,,,0.00409524060865141
All Employee Panel,22,IGE,IGE/RRC,28089,-0.377241342322982,0.0181717061118183,28082,0.0198301860213476
All Employee Panel,22,RRC,IGE/RRC,28091,-0.130932170593886,0.00591571336864652,28084,0.00586173945763802
All Employee Panel,22,TM,Bot->Bot,28091,0.17948717948718,,,0.00494232245055279
All Employee Panel,22,TM,Bot->Top,28091,0.200854700854701,,,0.00526242940650329
All Employee Panel,22,TM,Top->Bot,28091,0.294431595801459,,,0.005512844749401
All Employee Panel,22,TM,Top->Top,28091,0.139832769969756,,,0.00451169206262656
All Employee Panel,23,IGE,IGE/RRC,34799,-0.205975479936496,0.0160268610348554,34791,0.0180351505657581
All Employee Panel,23,RRC,IGE/RRC,34800,-0.0638420666497767,0.00535023388813711,34792,0.00556754956734159
All Employee Panel,23,TM,Bot->Bot,34800,0.191003161828112,,,0.00445369832955244
All Employee Panel,23,TM,Bot->Top,34800,0.173900546133947,,,0.00456328845201663
All Employee Panel,23,TM,Top->Bot,34800,0.28382648664177,,,0.00474464421460444
All Employee Panel,23,TM,Top->Top,34800,0.184429761562769,,,0.00446464391316286
All Employee Panel,24,IGE,IGE/RRC,35263,-0.0178711068350315,0.0147103237639646,35255,0.0166373757056075
All Employee Panel,24,RRC,IGE/RRC,35263,0.02244457429008,0.00532451150652893,35255,0.00548449283555331
All Employee Panel,24,TM,Bot->Bot,35263,0.208368794326241,,,0.00452988777574552
All Employee Panel,24,TM,Bot->Top,35263,0.144397163120567,,,0.00418614253844027
All Employee Panel,24,TM,Top->Bot,35263,0.254287739192062,,,0.00475422554721289
All Employee Panel,24,TM,Top->Top,35263,0.246633593196315,,,0.0046582720954963
All Employee Panel,25,IGE,IGE/RRC,41644,0.172226845210683,0.0126576072602986,41635,0.013242549971247
All Employee Panel,25,RRC,IGE/RRC,41645,0.115843240887202,0.00486777465650014,41636,0.00495008619396269
All Employee Panel,25,TM,Bot->Bot,41645,0.238890223396589,,,0.00419509572727839
All Employee Panel,25,TM,Bot->Top,41645,0.118544319000721,,,0.00371475539479819
All Employee Panel,25,TM,Top->Bot,41645,0.213128525141006,,,0.0041635679652557
All Employee Panel,25,TM,Top->Top,41645,0.301572062882515,,,0.00471503105151197
All Employee Panel,26,IGE,IGE/RRC,41700,0.256493645836653,0.0115673948065675,41691,0.0125860019057766
All Employee Panel,26,RRC,IGE/RRC,41702,0.175451564961234,0.00482146914180577,41693,0.00510171198846284
All Employee Panel,26,TM,Bot->Bot,41702,0.242024466298873,,,0.0045802785471763
All Employee Panel,26,TM,Bot->Top,41702,0.111057807627728,,,0.00374005059261412
All Employee Panel,26,TM,Top->Bot,41702,0.189020735946302,,,0.00412831189593434
All Employee Panel,26,TM,Top->Top,41702,0.34424068081026,,,0.00490228705093298
All Employee Panel,27,IGE,IGE/RRC,47259,0.348898309911156,0.0105589722586659,47249,0.0124506108388609
All Employee Panel,27,RRC,IGE/RRC,47259,0.220923336515398,0.00448680696399645,47249,0.00470852573335868
All Employee Panel,27,TM,Bot->Bot,47259,0.261035249285487,,,0.00441504887234992
All Employee Panel,27,TM,Bot->Top,47259,0.102783952577538,,,0.00334593990587816
All Employee Panel,27,TM,Top->Bot,47259,0.163934426229508,,,0.00356784344665898
All Employee Panel,27,TM,Top->Top,47259,0.359175039661555,,,0.00434276208102881
All Employee Panel,28,IGE,IGE/RRC,46910,0.362663740218359,0.0105438265622125,46900,0.0122115638502427
All Employee Panel,28,RRC,IGE/RRC,46916,0.234378133730378,0.00448863013814025,46906,0.00478497779484921
All Employee Panel,28,TM,Bot->Bot,46916,0.268763326226013,,,0.00441120662840724
All Employee Panel,28,TM,Bot->Top,46916,0.103304904051173,,,0.00336627088903872
All Employee Panel,28,TM,Top->Bot,46916,0.154591945450671,,,0.00340708758166154
