age,estimate,group,n,coef,se,df,boot_se
25,IGE,IGE/RRC,63750,0.257680376309927,0.0103606481870458,63739,0.0250119451423203
25,RRC,IGE/RRC,63790,0.112698800240292,0.00393445783434827,63779,0.00874609820436472
25,TM,Bot->Bot,63790,0.25576289791438,,,0.00538077272476406
25,TM,Bot->Top,63790,0.182609377450212,,,0.0056109292460953
25,TM,Top->Bot,63790,0.148476063621406,,,0.00376751358923061
25,TM,Top->Top,63790,0.259421766042467,,,0.00600475213991875
26,IGE,IGE/RRC,63854,0.329452138533079,0.0102256629870031,63843,0.0264178805416033
26,RRC,IGE/RRC,63894,0.157799822229634,0.00390688532950128,63883,0.00775885072554337
26,TM,Bot->Bot,63894,0.258180679505245,,,0.00583508973283218
26,TM,Bot->Top,63894,0.171598559574135,,,0.00548924743719184
26,TM,Top->Bot,63894,0.132285066103419,,,0.00337301764204527
26,TM,Top->Top,63894,0.296722209184073,,,0.00614392360786168
27,IGE,IGE/RRC,63846,0.369727603539633,0.0101406116864664,63835,0.0260674167765961
27,RRC,IGE/RRC,63886,0.16999509055405,0.0038991129688694,63875,0.00811331618034447
27,TM,Bot->Bot,63886,0.261546892124628,,,0.00589669024960134
27,TM,Bot->Top,63886,0.166275246594645,,,0.00590592251273903
27,TM,Top->Bot,63886,0.131366872701667,,,0.00338470672538231
27,TM,Top->Top,63886,0.308974258665206,,,0.00572616939213242
28,IGE,IGE/RRC,64273,0.413818328660812,0.00959088770440741,64262,0.0253199727900158
28,RRC,IGE/RRC,64314,0.194151456460984,0.00386847743985174,64303,0.00775811005200303
28,TM,Bot->Bot,64314,0.27101640874096,,,0.00600240696234341
28,TM,Bot->Top,64314,0.15631075511315,,,0.00622138021184332
28,TM,Top->Bot,64314,0.121930369909854,,,0.00324165434900812
28,TM,Top->Top,64314,0.327168169101648,,,0.00480919250938307
29,IGE,IGE/RRC,64390,0.4445359588624,0.00932503265284181,64379,0.0271028877901285
29,RRC,IGE/RRC,64431,0.212256181224145,0.00385015849693089,64420,0.00868611803299982
29,TM,Bot->Bot,64431,0.274124679760888,,,0.00671384551715228
29,TM,Bot->Top,64431,0.151541029423181,,,0.00741159898404253
29,TM,Top->Bot,64431,0.119851058878287,,,0.00325032692627169
29,TM,Top->Top,64431,0.342874873943061,,,0.00443710135696902
30,IGE,IGE/RRC,64245,0.435400349694666,0.00939100271681296,64234,0.0241339025520184
30,RRC,IGE/RRC,64286,0.200789661816648,0.00386405165155642,64275,0.00749632648994904
30,TM,Bot->Bot,64286,0.266708161518712,,,0.00674279252408044
30,TM,Bot->Top,64286,0.165797868201976,,,0.00779003508906682
30,TM,Top->Bot,64286,0.119343803452029,,,0.00318336807043982
30,TM,Top->Top,64286,0.340771264189084,,,0.00431474526334708
31,IGE,IGE/RRC,64301,0.470953835216312,0.00884333588341114,64290,0.0231828168097278
31,RRC,IGE/RRC,64342,0.231701825209221,0.00383537666049014,64331,0.00897216415215806
31,TM,Bot->Bot,64342,0.288900979325354,,,0.00741346454282715
31,TM,Bot->Top,64342,0.138737758433079,,,0.00880365314608961
31,TM,Top->Bot,64342,0.120164672984309,,,0.00322694610918528
31,TM,Top->Top,64342,0.344415100201957,,,0.00440210927813444
32,IGE,IGE/RRC,64347,0.423923187026822,0.00836704699165393,64336,0.0234094593096234
32,RRC,IGE/RRC,64388,0.226359141072009,0.0038389585590828,64377,0.00763539530675318
32,TM,Bot->Bot,64388,0.286391176013671,,,0.00599584594225908
32,TM,Bot->Top,64388,0.141603231318937,,,0.0068739937607282
32,TM,Top->Bot,64388,0.117683589504735,,,0.00309162443659469
32,TM,Top->Top,64388,0.343269678621332,,,0.00448133995825464
33,IGE,IGE/RRC,64379,0.491678409176241,0.00841674851632765,64368,0.0237841102805977
33,RRC,IGE/RRC,64420,0.264437351941546,0.00380001566985689,64409,0.00765924370050802
33,TM,Bot->Bot,64420,0.307686335403727,,,0.00579624256005943
33,TM,Bot->Top,64420,0.112810559006211,,,0.00601921975776246
33,TM,Top->Bot,64420,0.11746450461634,,,0.00333040169547124
