n,dep,ige
202,82,0.569-0.633
209,65,0.448-0.481
219,19,0.523-0.56
235,36,0.634-0.878
236,20,0.448-0.481
238,55,0.27-0.365
243,12,0.367-0.409
251,58,0.27-0.365
263,52,0.569-0.633
269,39,0.367-0.409
273,70,0.634-0.878
274,11,0.634-0.878
313,7,0.367-0.409
319,47,0.634-0.878
326,40,0.367-0.409
329,53,0.634-0.878
337,24,0.27-0.365
354,81,0.523-0.56
356,66,0.634-0.878
357,41,0.569-0.633
357,61,0.634-0.878
357,87,0.523-0.56
361,10,0.27-0.365
365,3,0.448-0.481
370,18,0.448-0.481
374,16,0.523-0.56
376,8,0.523-0.56
376,79,0.27-0.365
388,89,0.27-0.365
430,73,0.448-0.481
435,26,0.482-0.522
464,86,0.482-0.522
468,84,0.482-0.522
504,88,0.448-0.481
505,28,0.523-0.56
535,1,0.367-0.409
549,21,0.414-0.447
559,17,0.414-0.447
566,50,0.523-0.56
571,64,0.482-0.522
577,30,0.569-0.633
590,22,0.27-0.365
597,37,0.569-0.633
627,85,0.27-0.365
629,74,0.367-0.409
635,25,0.27-0.365
635,72,0.569-0.633
661,71,0.634-0.878
664,63,0.414-0.447
676,51,0.367-0.409
706,45,0.569-0.633
735,2,0.569-0.633
737,80,0.448-0.481
738,27,0.414-0.447
773,6,0.367-0.409
773,83,0.569-0.633
778,56,0.414-0.447
781,14,0.448-0.481
788,34,0.634-0.878
792,68,0.523-0.56
862,54,0.569-0.633
901,42,0.367-0.409
931,49,0.482-0.522
949,31,0.482-0.522
979,29,0.414-0.447
1008,60,0.414-0.447
1033,67,0.523-0.56
1036,35,0.27-0.365
1188,94,0.367-0.409
1217,38,0.414-0.447
1248,92,0.482-0.522
1274,57,0.482-0.522
1302,91,0.448-0.481
1304,33,0.414-0.447
1352,75,0.482-0.522
1366,95,0.482-0.522
1467,44,0.482-0.522
1495,93,0.414-0.447
1529,77,0.367-0.409
1547,76,0.523-0.56
1583,69,0.448-0.481
1645,78,0.448-0.481
1795,13,0.569-0.633
2145,62,0.634-0.878
3668,59,0.634-0.878
