n,dep,rrc
202,82,0.217-0.248
209,65,0.172-0.217
219,19,0.358-0.401
235,36,0.358-0.401
236,20,0.172-0.217
238,55,0.217-0.248
243,12,0.248-0.26
251,58,0.172-0.217
263,52,0.314-0.348
269,39,0.261-0.274
273,70,0.275-0.291
274,11,0.358-0.401
313,7,0.172-0.217
319,47,0.261-0.274
326,40,0.217-0.248
329,53,0.314-0.348
337,24,0.217-0.248
354,81,0.358-0.401
356,66,0.275-0.291
357,41,0.248-0.26
357,61,0.314-0.348
357,87,0.358-0.401
361,10,0.172-0.217
365,3,0.217-0.248
370,18,0.248-0.26
374,16,0.217-0.248
376,8,0.291-0.313
376,79,0.261-0.274
388,89,0.217-0.248
430,73,0.261-0.274
435,26,0.314-0.348
464,86,0.314-0.348
468,84,0.261-0.274
504,88,0.248-0.26
505,28,0.291-0.313
535,1,0.261-0.274
549,21,0.275-0.291
559,17,0.291-0.313
566,50,0.291-0.313
571,64,0.275-0.291
577,30,0.275-0.291
590,22,0.248-0.26
597,37,0.314-0.348
627,85,0.172-0.217
629,74,0.172-0.217
635,25,0.248-0.26
635,72,0.358-0.401
661,71,0.358-0.401
664,63,0.261-0.274
676,51,0.314-0.348
706,45,0.358-0.401
735,2,0.358-0.401
737,80,0.291-0.313
738,27,0.248-0.26
773,6,0.217-0.248
773,83,0.291-0.313
778,56,0.261-0.274
781,14,0.291-0.313
788,34,0.314-0.348
792,68,0.275-0.291
862,54,0.314-0.348
901,42,0.275-0.291
931,49,0.291-0.313
949,31,0.275-0.291
979,29,0.172-0.217
1008,60,0.217-0.248
1033,67,0.291-0.313
1036,35,0.261-0.274
1188,94,0.172-0.217
1217,38,0.248-0.26
1248,92,0.275-0.291
1274,57,0.291-0.313
1302,91,0.275-0.291
1304,33,0.217-0.248
1352,75,0.275-0.291
1366,95,0.248-0.26
1467,44,0.261-0.274
1495,93,0.172-0.217
1529,77,0.217-0.248
1547,76,0.314-0.348
1583,69,0.261-0.274
1645,78,0.248-0.26
1795,13,0.314-0.348
2145,62,0.358-0.401
3668,59,0.358-0.401
