n,dep,aum
202,82,40.7-41.8
209,65,40.7-41.8
219,19,40.7-41.8
235,36,36.8-39
236,20,44.6-46.7
238,55,44.6-46.7
243,12,43.5-44.5
251,58,43-43.4
263,52,40.7-41.8
269,39,46.7-54.4
273,70,40.7-41.8
274,11,36.8-39
313,7,41.8-42.9
319,47,39-40.6
326,40,43-43.4
329,53,39-40.6
337,24,39-40.6
354,81,36.8-39
356,66,36.8-39
357,41,43-43.4
357,61,36.8-39
357,87,39-40.6
361,10,43-43.4
365,3,41.8-42.9
370,18,41.8-42.9
374,16,39-40.6
376,8,36.8-39
376,79,43-43.4
388,89,43-43.4
430,73,44.6-46.7
435,26,39-40.6
464,86,40.7-41.8
468,84,41.8-42.9
504,88,39-40.6
505,28,43-43.4
535,1,46.7-54.4
549,21,43.5-44.5
559,17,40.7-41.8
566,50,43-43.4
571,64,43.5-44.5
577,30,39-40.6
590,22,44.6-46.7
597,37,41.8-42.9
627,85,44.6-46.7
629,74,46.7-54.4
635,25,46.7-54.4
635,72,39-40.6
661,71,41.8-42.9
664,63,43.5-44.5
676,51,43-43.4
706,45,40.7-41.8
735,2,36.8-39
737,80,39-40.6
738,27,43.5-44.5
773,6,43.5-44.5
773,83,39-40.6
778,56,43-43.4
781,14,41.8-42.9
788,34,36.8-39
792,68,44.6-46.7
862,54,41.8-42.9
901,42,43.5-44.5
931,49,40.7-41.8
949,31,43-43.4
979,29,44.6-46.7
1008,60,43.5-44.5
1033,67,44.6-46.7
1036,35,43.5-44.5
1188,94,46.7-54.4
1217,38,43.5-44.5
1248,92,46.7-54.4
1274,57,44.6-46.7
1302,91,46.7-54.4
1304,33,40.7-41.8
1352,75,46.7-54.4
1366,95,46.7-54.4
1467,44,41.8-42.9
1495,93,46.7-54.4
1529,77,44.6-46.7
1547,76,41.8-42.9
1583,69,44.6-46.7
1645,78,46.7-54.4
1795,13,41.8-42.9
2145,62,36.8-39
3668,59,36.8-39
