dep,N,ige,rrc,aum
1,535,0.4,0.27,47.5
2,735,0.63,0.4,39
3,365,0.45,0.23,42.9
4,141,,,
5,112,,,
6,773,0.37,0.24,43.6
7,313,0.4,0.19,42.4
8,376,0.56,0.31,38.8
9,121,,,
10,361,0.27,0.2,43.2
11,274,0.77,0.38,36.9
12,243,0.37,0.25,44.5
13,1795,0.62,0.33,41.9
14,781,0.47,0.31,42.7
15,164,,,
16,374,0.52,0.24,40.6
17,559,0.45,0.3,40.9
18,370,0.48,0.26,42.9
19,219,0.56,0.38,40.9
20,236,0.48,0.17,45.6
21,549,0.44,0.29,44.1
22,590,0.3,0.25,44.6
23,102,,,
24,337,0.31,0.25,39.9
25,635,0.33,0.25,47.6
26,435,0.52,0.33,39
27,738,0.42,0.25,43.9
28,505,0.53,0.31,43.1
29,979,0.44,0.22,44.7
30,577,0.63,0.28,39.3
31,949,0.51,0.29,43.4
32,136,,,
33,1304,0.43,0.25,41.8
34,788,0.65,0.32,38.3
35,1036,0.36,0.26,43.6
36,235,0.74,0.39,37
37,597,0.63,0.31,41.8
38,1217,0.43,0.25,43.5
39,269,0.37,0.27,48.7
40,326,0.39,0.22,43
41,357,0.57,0.25,43.2
42,901,0.39,0.27,44.5
43,194,,,
44,1467,0.48,0.26,42.8
45,706,0.63,0.36,41.2
46,137,,,
47,319,0.74,0.27,40.4
48,63,,,
49,931,0.49,0.31,40.8
50,566,0.56,0.29,43.3
51,676,0.37,0.33,43.1
52,263,0.62,0.35,41
53,329,0.67,0.34,40.6
54,862,0.59,0.32,42.6
55,238,0.32,0.24,44.9
56,778,0.45,0.27,43.3
57,1274,0.52,0.31,44.7
58,251,0.31,0.18,43
59,3668,0.63,0.36,38.7
60,1008,0.42,0.24,44.1
61,357,0.65,0.33,38.9
62,2145,0.7,0.39,36.8
63,664,0.41,0.26,43.6
64,571,0.49,0.28,43.5
65,209,0.48,0.21,41.4
66,356,0.75,0.29,38.1
67,1033,0.54,0.31,45.2
68,792,0.53,0.29,46.7
69,1583,0.46,0.27,45.2
70,273,0.88,0.28,40.7
71,661,0.69,0.39,42.4
72,635,0.57,0.36,40
73,430,0.45,0.26,45.7
74,629,0.4,0.19,54.4
75,1352,0.51,0.28,49.8
76,1547,0.54,0.34,41.9
77,1529,0.4,0.24,46.2
78,1645,0.47,0.25,49.2
79,376,0.35,0.27,43.2
80,737,0.45,0.3,40.4
81,354,0.54,0.36,38.2
82,202,0.59,0.23,40.8
83,773,0.59,0.31,39
84,468,0.5,0.27,42.6
85,627,0.37,0.19,44.6
86,464,0.51,0.33,41.7
87,357,0.56,0.36,40.5
88,504,0.46,0.26,40.6
89,388,0.32,0.23,43
90,172,,,
91,1302,0.47,0.28,48
92,1248,0.5,0.28,48.9
93,1495,0.45,0.2,47.3
94,1188,0.41,0.19,51
95,1366,0.49,0.26,46.7
