n,trim,estimate,top,bot,coef,lab
51623,Second stage,IGE,0.1,0.1,0.560774271621898,0.561
51624,Children,IGE,0.1,0.1,0.183602319164348,0.184
51657,Second stage,RRC,0.1,0.1,0.264865394855534,0.265
51657,Children,RRC,0.1,0.1,0.176389602797751,0.176
54850,Second stage,IGE,0.1,0.05,0.582730673768733,0.583
54850,Second stage,IGE,0.05,0.1,0.544399031013997,0.544
54850,Children,IGE,0.1,0.05,0.223593911203758,0.224
54850,Children,IGE,0.05,0.1,0.228032577504847,0.228
54885,Second stage,RRC,0.1,0.05,0.270667199696192,0.271
54885,Second stage,RRC,0.05,0.1,0.277458675228224,0.277
54885,Children,RRC,0.1,0.05,0.196380656701285,0.196
54885,Children,RRC,0.05,0.1,0.210210480598668,0.21
55494,Second stage,IGE,0.1,0.04,0.583661628463278,0.584
55495,Children,IGE,0.1,0.04,0.235357890318795,0.235
55495,Children,IGE,0.04,0.1,0.240728040842476,0.241
55496,Second stage,IGE,0.04,0.1,0.54196714300075,0.542
55531,Second stage,RRC,0.1,0.04,0.272378656062478,0.272
55531,Second stage,RRC,0.04,0.1,0.280450620692378,0.28
55531,Children,RRC,0.1,0.04,0.200693346712614,0.201
55531,Children,RRC,0.04,0.1,0.218251045635373,0.218
56139,Second stage,IGE,0.1,0.03,0.575664207008623,0.576
56141,Second stage,IGE,0.03,0.1,0.543689161151983,0.544
56141,Children,IGE,0.1,0.03,0.250874902414243,0.251
56141,Children,IGE,0.03,0.1,0.256203831706101,0.256
56176,Second stage,RRC,0.1,0.03,0.273124213590098,0.273
56176,Second stage,RRC,0.03,0.1,0.284712649703565,0.285
56176,Children,RRC,0.1,0.03,0.205649119792037,0.206
56176,Children,RRC,0.03,0.1,0.227364436035578,0.227
56785,Second stage,IGE,0.1,0.02,0.558709374530177,0.559
56786,Children,IGE,0.1,0.02,0.274199326669332,0.274
56786,Children,IGE,0.02,0.1,0.272114008030808,0.272
56787,Second stage,IGE,0.02,0.1,0.546423496923593,0.546
56822,Second stage,RRC,0.1,0.02,0.271922519870907,0.272
56822,Second stage,RRC,0.02,0.1,0.289752214596409,0.29
56822,Children,RRC,0.1,0.02,0.210766583596892,0.211
56822,Children,RRC,0.02,0.1,0.235628336370836,0.236
57429,Second stage,IGE,0.1,0.01,0.547635440125251,0.548
57431,Children,IGE,0.1,0.01,0.311225445970777,0.311
57431,Children,IGE,0.01,0.1,0.292072193201765,0.292
57432,Second stage,IGE,0.01,0.1,0.54530974969828,0.545
57468,Second stage,RRC,0.1,0.01,0.27318172277669,0.273
57468,Second stage,RRC,0.01,0.1,0.294657852126063,0.295
57468,Children,RRC,0.1,0.01,0.21603624589415,0.216
57468,Children,RRC,0.01,0.1,0.244021506992878,0.244
58075,Second stage,IGE,0.1,0,0.530015523407177,0.53
58076,Children,IGE,0.05,0.05,0.268575146942645,0.269
58077,Second stage,IGE,0.05,0.05,0.564458681422092,0.564
58077,Children,IGE,0.1,0,0.387592549701412,0.388
58077,Children,IGE,0,0.1,0.330664763403903,0.331
58078,Second stage,IGE,0,0.1,0.541745864259311,0.542
58113,Second stage,RRC,0.05,0.05,0.281342453222453,0.281
58113,Children,RRC,0.05,0.05,0.231001402467,0.231
58114,Second stage,RRC,0.1,0,0.276042218378218,0.276
58114,Second stage,RRC,0,0.1,0.30056280881039,0.301
58114,Children,RRC,0.1,0,0.221956206874131,0.222
58114,Children,RRC,0,0.1,0.255627264979691,0.256
58721,Second stage,IGE,0.05,0.04,0.565884272857564,0.566
58721,Children,IGE,0.05,0.04,0.280427458706054,0.28
58721,Children,IGE,0.04,0.05,0.281274537002566,0.281
58723,Second stage,IGE,0.04,0.05,0.56147408310154,0.561
58759,Second stage,RRC,0.05,0.04,0.282650796463027,0.283
58759,Second stage,RRC,0.04,0.05,0.283942303864731,0.284
58759,Children,RRC,0.05,0.04,0.235465415654538,0.235
58759,Children,RRC,0.04,0.05,0.239181789784492,0.239
59366,Second stage,IGE,0.05,0.03,0.560134077204287,0.56
59366,Children,IGE,0.04,0.04,0.293118647968383,0.293
59367,Second stage,IGE,0.04,0.04,0.562945057097068,0.563
59367,Children,IGE,0.05,0.03,0.29597222742039,0.296
59367,Children,IGE,0.03,0.05,0.296662884343706,0.297
59368,Second stage,IGE,0.03,0.05,0.56211148362921,0.562
59404,Second stage,RRC,0.05,0.03,0.283116091568806,0.283
59404,Second stage,RRC,0.03,0.05,0.287693207696899,0.288
59404,Children,RRC,0.05,0.03,0.240535399445658,0.241
59404,Children,RRC,0.03,0.05,0.248406846490069,0.248
59405,Second stage,RRC,0.04,0.04,0.285167979072026,0.285
59405,Children,RRC,0.04,0.04,0.243670571338059,0.244
60012,Second stage,IGE,0.05,0.02,0.547062880789977,0.547
60012,Second stage,IGE,0.04,0.03,0.557570658675603,0.558
60012,Second stage,IGE,0.03,0.04,0.563491529584852,0.563
60012,Children,IGE,0.05,0.02,0.319050464138218,0.319
60012,Children,IGE,0.04,0.03,0.308645046265412,0.309
60012,Children,IGE,0.03,0.04,0.308481977098739,0.308
60012,Children,IGE,0.02,0.05,0.312452197955558,0.312
60014,Second stage,IGE,0.02,0.05,0.56363076085909,0.564
60050,Second stage,RRC,0.05,0.02,0.281837376409412,0.282
60050,Second stage,RRC,0.04,0.03,0.285572850138527,0.286
