n,gender,tail,trim,MSE
14735,female,Bottom,0,0.528803336099836
14735,female,Bottom,0.1,0.528806633315578
14735,female,Bottom,0.2,0.528788670625737
14735,female,Bottom,0.3,0.528914849622292
14735,female,Bottom,0.4,0.529255398663805
14735,female,Bottom,0.5,0.529325365505585
14735,female,Bottom,0.6,0.529681381880707
14735,female,Bottom,0.7,0.530040558889409
14735,female,Bottom,0.8,0.53024331338532
14735,female,Bottom,0.9,0.530673581475149
14735,female,Bottom,1,0.530981848589318
14735,female,Bottom,1.1,0.531253568043964
14735,female,Bottom,1.2,0.531746976181088
14735,female,Bottom,1.3,0.532119340088487
14735,female,Bottom,1.4,0.532441356493978
14735,female,Bottom,1.5,0.532888414618884
14735,female,Bottom,1.6,0.533300699024298
14735,female,Bottom,1.7,0.533782214309971
14735,female,Bottom,1.8,0.534513921036436
14735,female,Bottom,1.9,0.534915699801068
14735,female,Bottom,2,0.535505264964048
14735,female,Top,0,0.528803336099836
14735,female,Top,0.1,0.528760506978186
14735,female,Top,0.2,0.52893901757147
14735,female,Top,0.3,0.529041227515482
14735,female,Top,0.4,0.529259364712239
14735,female,Top,0.5,0.529355526746895
14735,female,Top,0.6,0.529516082513454
14735,female,Top,0.7,0.529638747490191
14735,female,Top,0.8,0.529836019204254
14735,female,Top,0.9,0.529958270264003
14735,female,Top,1,0.530062516124453
14735,female,Top,1.1,0.530173407408081
14735,female,Top,1.2,0.530331179382881
14735,female,Top,1.3,0.530386235834196
14735,female,Top,1.4,0.530514270109635
14735,female,Top,1.5,0.530645157533398
14735,female,Top,1.6,0.53086941124413
14735,female,Top,1.7,0.5310962948102
14735,female,Top,1.8,0.531191849894285
14735,female,Top,1.9,0.531408461814977
14735,female,Top,2,0.53171696935495
15583,male,Bottom,0,0.274211055048524
15583,male,Bottom,0.1,0.274018486954125
15583,male,Bottom,0.2,0.273993178659524
15583,male,Bottom,0.3,0.274263476425672
15583,male,Bottom,0.4,0.274467925842989
15583,male,Bottom,0.5,0.274577672184495
15583,male,Bottom,0.6,0.274819577788082
15583,male,Bottom,0.7,0.274930287154807
15583,male,Bottom,0.8,0.275133745513731
15583,male,Bottom,0.9,0.275272396275177
15583,male,Bottom,1,0.275569443415462
15583,male,Bottom,1.1,0.275881093599467
15583,male,Bottom,1.2,0.276143519599672
15583,male,Bottom,1.3,0.276428220289015
15583,male,Bottom,1.4,0.276702761829028
15583,male,Bottom,1.5,0.276933886367139
15583,male,Bottom,1.6,0.277247509247399
15583,male,Bottom,1.7,0.277635162634555
15583,male,Bottom,1.8,0.277895200026468
15583,male,Bottom,1.9,0.27817899905003
15583,male,Bottom,2,0.278473152315366
15583,male,Top,0,0.274211055048524
15583,male,Top,0.1,0.274271405330744
15583,male,Top,0.2,0.274277638472419
15583,male,Top,0.3,0.274352567016272
15583,male,Top,0.4,0.274416629724074
15583,male,Top,0.5,0.274469642130886
15583,male,Top,0.6,0.27465848113323
15583,male,Top,0.7,0.274735858220623
15583,male,Top,0.8,0.27485911082289
15583,male,Top,0.9,0.27498479127409
15583,male,Top,1,0.275142583871191
15583,male,Top,1.1,0.275215481176336
15583,male,Top,1.2,0.275345879775441
15583,male,Top,1.3,0.275530403298675
15583,male,Top,1.4,0.275668757404099
15583,male,Top,1.5,0.27585431498075
15583,male,Top,1.6,0.275981630111678
15583,male,Top,1.7,0.276092037813183
15583,male,Top,1.8,0.276271337562427
15583,male,Top,1.9,0.276393357347511
15583,male,Top,2,0.276586851685982
