inc_period,subsample,estimate,group,n,coef,se,df,row_number(),lab,boot_se
"",F,IGE,IGE/RRC,32117,0.576489764732785,0.0117813903425411,32106,13,0.58,0.0152489638560629
"",F,RRC,IGE/RRC,32139,0.310264701941306,0.00539638727060435,32128,14,0.31,0.00565593549720477
"",F,TM,Bot->Bot,32139,0.318435321456236,,,15,31.8,0.00411939132009293
"",F,TM,Bot->Top,32139,0.09713400464756,,,16,9.7,0.00318154306879259
"",F,TM,Top->Bot,32139,0.107137327759715,,,17,10.7,0.0027039505001331
"",F,TM,Top->Top,32139,0.383728131289673,,,18,38.4,0.00374404866080362
"",FM,IGE,IGE/RRC,64530,0.527499342222814,0.00798030267570739,64519,31,0.53,0.0118814146590342
"",FM,RRC,IGE/RRC,64571,0.303296992323333,0.00375027312644212,64560,32,0.3,0.00419427588490937
"",FM,TM,Bot->Bot,64571,0.318435321456236,,,33,31.8,0.00411939132009293
"",FM,TM,Bot->Top,64571,0.09713400464756,,,34,9.7,0.00318154306879259
"",FM,TM,Top->Bot,64571,0.107137327759715,,,35,10.7,0.0027039505001331
"",FM,TM,Top->Top,64571,0.383728131289673,,,36,38.4,0.00374404866080362
"",M,IGE,IGE/RRC,32413,0.478615329800889,0.0107706458754925,32402,19,0.48,0.0140004490122432
"",M,RRC,IGE/RRC,32432,0.296260121778576,0.00521181636333829,32421,20,0.3,0.00551055979431814
"",M,TM,Bot->Bot,32432,0.318435321456236,,,21,31.8,0.00411939132009293
"",M,TM,Bot->Top,32432,0.09713400464756,,,22,9.7,0.00318154306879259
"",M,TM,Top->Bot,32432,0.107137327759715,,,23,10.7,0.0027039505001331
"",M,TM,Top->Top,32432,0.383728131289673,,,24,38.4,0.00374404866080362
_post_88,F,IGE,IGE/RRC,31740,0.553607918587482,0.0114428925976707,31729,1,0.55,0.0159554474754977
_post_88,F,RRC,IGE/RRC,31761,0.308829026023665,0.0054298894121522,31750,2,0.31,0.00599617707441063
_post_88,F,TM,Bot->Bot,31761,0.314984709480122,,,3,31.5,0.00486037095804135
_post_88,F,TM,Bot->Top,31761,0.0984082176742727,,,4,9.8,0.00385370069701891
_post_88,F,TM,Top->Bot,31761,0.107601880877743,,,5,10.8,0.00278263250204482
_post_88,F,TM,Top->Top,31761,0.385815047021944,,,6,38.6,0.0037452519238613
_post_88,FM,IGE,IGE/RRC,63743,0.506882362862891,0.00777399944499662,63732,25,0.51,0.0126954178918331
_post_88,FM,RRC,IGE/RRC,63783,0.301996083763403,0.00377500785137426,63772,26,0.3,0.00458590336938264
_post_88,FM,TM,Bot->Bot,63783,0.314984709480122,,,27,31.5,0.00486037095804135
_post_88,FM,TM,Bot->Top,63783,0.0984082176742727,,,28,9.8,0.00385370069701891
_post_88,FM,TM,Top->Bot,63783,0.107601880877743,,,29,10.8,0.00278263250204482
_post_88,FM,TM,Top->Top,63783,0.385815047021944,,,30,38.6,0.0037452519238613
_post_88,M,IGE,IGE/RRC,32003,0.460140668600773,0.0105257234504525,31992,7,0.46,0.0146553249514528
_post_88,M,RRC,IGE/RRC,32022,0.295088739867335,0.00524807812129034,32011,8,0.3,0.00588285319346124
_post_88,M,TM,Bot->Bot,32022,0.314984709480122,,,9,31.5,0.00486037095804135
_post_88,M,TM,Bot->Top,32022,0.0984082176742727,,,10,9.8,0.00385370069701891
_post_88,M,TM,Top->Bot,32022,0.107601880877743,,,11,10.8,0.00278263250204482
_post_88,M,TM,Top->Top,32022,0.385815047021944,,,12,38.6,0.0037452519238613
