family_quintile,child_quintile,instru,n,share,pct,boot_se
1,1,+ 2digit occ.,4084,0.316515539021933,31.7%,0.00411768955744422
1,1,+ demographic char.,4080,0.316034082106894,31.6%,0.00425234228116673
1,1,+ mun. char.,4111,0.318435321456236,31.8%,0.00411939132009293
1,1,Education,4129,0.313372799028537,31.3%,0.00356783558979555
1,2,+ 2digit occ.,3128,0.242424242424242,24.2%,0.00364057919188214
1,2,+ demographic char.,3147,0.243764523625097,24.4%,0.00360672897827443
1,2,+ mun. char.,3149,0.243919442292796,24.4%,0.00351986326029672
1,2,Education,3113,0.236262902246509,23.6%,0.00339731897352154
1,3,+ 2digit occ.,2578,0.199798496473688,20%,0.00336117981754167
1,3,+ demographic char.,2529,0.195894655305964,19.6%,0.00335643462502006
1,3,+ mun. char.,2586,0.200309837335399,20%,0.00323995949681163
1,3,Education,2606,0.197783849423194,19.8%,0.00319498105568626
1,4,+ 2digit occ.,1832,0.141982484693482,14.2%,0.00326271278575518
1,4,+ demographic char.,1814,0.140511231603408,14.1%,0.00341533063038169
1,4,+ mun. char.,1810,0.140201394268009,14%,0.00329549348014654
1,4,Education,1910,0.144960534304797,14.5%,0.00295407282035399
1,5,+ 2digit occ.,1281,0.0992792373866543,9.9%,0.00293247633039671
1,5,+ demographic char.,1340,0.103795507358637,10.4%,0.00322081120353446
1,5,+ mun. char.,1254,0.09713400464756,9.7%,0.00318154306879259
1,5,Education,1418,0.107619914996964,10.8%,0.00270868056674846
2,1,+ 2digit occ.,2992,0.231650665840818,23.2%,0.00387028654831143
2,1,+ demographic char.,3032,0.234802137380934,23.5%,0.00403519909897654
2,1,+ mun. char.,3005,0.232711221249903,23.3%,0.0037565047195645
2,1,Education,2772,0.227979274611399,22.8%,0.00363008726909613
2,2,+ 2digit occ.,2933,0.227082688138743,22.7%,0.00382611323838363
2,2,+ demographic char.,2928,0.226748238209556,22.7%,0.00392576485193747
2,2,+ mun. char.,2989,0.231472159838922,23.1%,0.00383140727612969
2,2,Education,2877,0.236614853195164,23.7%,0.00362167870769732
2,3,+ 2digit occ.,2893,0.223985754103438,22.4%,0.00350743147557163
2,3,+ demographic char.,2919,0.226051266165879,22.6%,0.00365030053451543
2,3,+ mun. char.,2869,0.222179199256563,22.2%,0.00368227029253742
2,3,Education,2723,0.223949337938975,22.4%,0.00350410830393267
2,4,+ 2digit occ.,2391,0.185119231960359,18.5%,0.00345399607740595
2,4,+ demographic char.,2387,0.184852474250755,18.5%,0.0035435999003639
2,4,+ mun. char.,2390,0.185084798265314,18.5%,0.00354665543029972
2,4,Education,2251,0.185130356114812,18.5%,0.00347435428906922
2,5,+ 2digit occ.,1707,0.132161659956643,13.2%,0.00347591620159491
2,5,+ demographic char.,1647,0.127545883992875,12.8%,0.00351486323297765
2,5,+ mun. char.,1660,0.128552621389298,12.9%,0.00330826789633782
2,5,Education,1536,0.12632617813965,12.6%,0.00299130099327443
3,1,+ 2digit occ.,2470,0.191146881287726,19.1%,0.00334130117789561
3,1,+ demographic char.,2484,0.19230471471704,19.2%,0.00340430918103731
3,1,+ mun. char.,2479,0.191917627932182,19.2%,0.00343976642693247
3,1,Education,2501,0.188925819610213,18.9%,0.00350595449250059
3,2,+ 2digit occ.,2714,0.210029407212506,21%,0.00343362294325318
3,2,+ demographic char.,2706,0.209491367964698,20.9%,0.00357065047271911
3,2,+ mun. char.,2681,0.207555934040412,20.8%,0.00352025823403542
3,2,Education,2778,0.209850430578637,21%,0.00344224007277113
3,3,+ 2digit occ.,2887,0.22341742764278,22.3%,0.003380275119278
3,3,+ demographic char.,2876,0.222652318649841,22.3%,0.00348680692768749
3,3,+ mun. char.,2926,0.226523186498413,22.7%,0.00359610622292069
3,3,Education,3004,0.226922495845294,22.7%,0.00354929060532927
3,4,+ 2digit occ.,2766,0.214053552081721,21.4%,0.00352236686939132
3,4,+ demographic char.,2763,0.213904157312069,21.4%,0.00350976476161422
3,4,+ mun. char.,2775,0.214833165595727,21.5%,0.00352573982736536
3,4,Education,2872,0.216951201087778,21.7%,0.00335522325501723
3,5,+ 2digit occ.,2085,0.161352731775267,16.1%,0.00346003985005932
3,5,+ demographic char.,2088,0.161647441356352,16.2%,0.00353675222956439
3,5,+ mun. char.,2056,0.159170085933266,15.9%,0.00328252105862505
3,5,Education,2083,0.157350052878078,15.7%,0.00338303394738804
4,1,+ 2digit occ.,1946,0.150700844110586,15.1%,0.00320372263406396
4,1,+ demographic char.,1913,0.148145279950438,14.8%,0.00310811773136152
4,1,+ mun. char.,1931,0.149539224037791,15%,0.00327696903264747
4,1,Education,2009,0.152764048361341,15.3%,0.00328522260273422
4,2,+ 2digit occ.,2395,0.185472004956246,18.5%,0.00330781252144777
4,2,+ demographic char.,2406,0.186323859676295,18.6%,0.00331074687389465
4,2,+ mun. char.,2346,0.181677379385116,18.2%,0.00327876737838406
4,2,Education,2409,0.183179986312828,18.3%,0.00335899424279699
4,3,+ 2digit occ.,2605,0.201734685975374,20.2%,0.00349666321235912
4,3,+ demographic char.,2624,0.203206071400914,20.3%,0.00341601452358784
4,3,+ mun. char.,2596,0.201037713931697,20.1%,0.00347301340738074
4,3,Education,2599,0.197627556839784,19.8%,0.00364952653487801
4,4,+ 2digit occ.,3050,0.236196081468288,23.6%,0.00344662240716402
4,4,+ demographic char.,3056,0.236660729497406,23.7%,0.00352244322381651
4,4,+ mun. char.,3049,0.236118640130101,23.6%,0.00351875175385678
4,4,Education,3031,0.23047676982739,23%,0.00361325380086355
4,5,+ 2digit occ.,2917,0.225896383489507,22.6%,0.00373577310201644
4,5,+ demographic char.,2914,0.225664059474948,22.6%,0.00364177904003426
4,5,+ mun. char.,2991,0.231627042515295,23.2%,0.00370538802779792
4,5,Education,3103,0.235951638658657,23.6%,0.00346037263299638
5,1,+ 2digit occ.,1418,0.109777812185492,11%,0.00273435953692974
5,1,+ demographic char.,1401,0.108453320947515,10.8%,0.00272342173634272
5,1,+ mun. char.,1384,0.107137327759715,10.7%,0.0027039505001331
5,1,Education,1503,0.116783216783217,11.7%,0.00272307307339458
5,2,+ 2digit occ.,1743,0.134938453201208,13.5%,0.00299760760314383
5,2,+ demographic char.,1726,0.133612014243691,13.4%,0.00298161780235888
5,2,+ mun. char.,1748,0.135315064251432,13.5%,0.00302546382338184
5,2,Education,1743,0.135431235431235,13.5%,0.00290233124956987
5,3,+ 2digit occ.,1954,0.15127351552218,15.1%,0.00316634671357302
5,3,+ demographic char.,1969,0.152422975692832,15.2%,0.00315479650472855
5,3,+ mun. char.,1940,0.150178046137173,15%,0.00317737353394974
5,3,Education,1985,0.154234654234654,15.4%,0.00306028951705061
5,4,+ 2digit occ.,2874,0.222497483935898,22.2%,0.00347366830425429
5,4,+ demographic char.,2893,0.223951076017959,22.4%,0.00346962540001982
5,4,+ mun. char.,2889,0.223641430562007,22.4%,0.00343267568043183
5,4,Education,2857,0.221989121989122,22.2%,0.00339717172813939
5,5,+ 2digit occ.,4928,0.381512735155222,38.2%,0.0038223790029984
5,5,+ demographic char.,4929,0.381560613098003,38.2%,0.00377600901031619
5,5,+ mun. char.,4957,0.383728131289673,38.4%,0.00374404866080362
5,5,Education,4782,0.371561771561772,37.2%,0.00363645665912238
