n,instru,parent,R2
64530,+ 2digit occ.,father_R2.Figure,0.341114478849656
64530,+ 2digit occ.,mother_R2.Figure,0.356913661826756
64530,+ demographic char.,father_R2.Figure,0.347869443276532
64530,+ demographic char.,mother_R2.Figure,0.362051991840615
64530,+ mun. char.,father_R2.Figure,0.358085263139233
64530,+ mun. char.,mother_R2.Figure,0.372164248500541
64553,Education,father_R2.Figure,0.153413280662697
64553,Education,mother_R2.Figure,0.144151847601981
64571,+ 2digit occ.,father_R2.Figure,0.341114478849656
64571,+ 2digit occ.,mother_R2.Figure,0.356913661826756
64571,+ demographic char.,father_R2.Figure,0.347869443276532
64571,+ demographic char.,mother_R2.Figure,0.362051991840615
64571,+ mun. char.,father_R2.Figure,0.358085263139233
64571,+ mun. char.,mother_R2.Figure,0.372164248500541
64594,Education,father_R2.Figure,0.153413280662697
64594,Education,mother_R2.Figure,0.144151847601981
