sample,age,estimate,group,n,coef,se,df,boot_se
1972,25,IGE,IGE/RRC,2603,-0.0160939698367395,0.0437903390808229,2601,0.0494627891597291
1972,25,RRC,IGE/RRC,2603,0.036153604571732,0.0195953671761673,2601,0.0205211440261908
1972,25,TM,Bot->Bot,2603,0.198076923076923,,,0.0166138742839181
1972,25,TM,Bot->Top,2603,0.138461538461538,,,0.0144299202881479
1972,25,TM,Top->Bot,2603,0.243761996161228,,,0.0171764505370542
1972,25,TM,Top->Top,2603,0.27063339731286,,,0.0177762945508195
1972,26,IGE,IGE/RRC,2602,0.15359989227235,0.0311098092305361,2600,0.0318412787626296
1972,26,RRC,IGE/RRC,2603,0.173608668786629,0.0193097157002922,2601,0.0205092856277327
1972,26,TM,Bot->Bot,2603,0.244230769230769,,,0.0182767393309316
1972,26,TM,Bot->Top,2603,0.115384615384615,,,0.0141765168964364
1972,26,TM,Top->Bot,2603,0.18426103646833,,,0.0161053802720073
1972,26,TM,Top->Top,2603,0.345489443378119,,,0.0183829937133822
1972,27,IGE,IGE/RRC,2603,0.231440391590901,0.0285919292324904,2601,0.0315770899938511
1972,27,RRC,IGE/RRC,2603,0.215604872861046,0.0191458086101209,2601,0.0203885894605236
1972,27,TM,Bot->Bot,2603,0.244230769230769,,,0.0179115063843678
1972,27,TM,Bot->Top,2603,0.121153846153846,,,0.0152861674358463
1972,27,TM,Top->Bot,2603,0.163147792706334,,,0.0153798625245163
1972,27,TM,Top->Top,2603,0.355086372360845,,,0.0180682605820782
1972,28,IGE,IGE/RRC,2603,0.23424962315313,0.0255850799084562,2601,0.0264063610169098
1972,28,RRC,IGE/RRC,2603,0.242834671936783,0.0190212132692954,2601,0.0198631451453989
1972,28,TM,Bot->Bot,2603,0.25,,,0.0180851111335431
1972,28,TM,Bot->Top,2603,0.0980769230769231,,,0.0132080748945057
1972,28,TM,Top->Bot,2603,0.159309021113244,,,0.0153289350295607
1972,28,TM,Top->Top,2603,0.36468330134357,,,0.0183660627530589
1972,29,IGE,IGE/RRC,2603,0.224630600683496,0.0258778167107164,2601,0.0253523252343477
1972,29,RRC,IGE/RRC,2603,0.244535125305648,0.0190125286473973,2601,0.0195856009665237
1972,29,TM,Bot->Bot,2603,0.261538461538462,,,0.0183458842049547
1972,29,TM,Bot->Top,2603,0.109615384615385,,,0.0138379668202867
1972,29,TM,Top->Bot,2603,0.142034548944338,,,0.0148876354433616
1972,29,TM,Top->Top,2603,0.370441458733205,,,0.0182641611253544
1972,30,IGE,IGE/RRC,2603,0.242277694097353,0.0227534276139896,2601,0.02311309896752
1972,30,RRC,IGE/RRC,2603,0.249974750853788,0.0189859363746462,2601,0.0196102311597862
1972,30,TM,Bot->Bot,2603,0.253846153846154,,,0.0179112675028484
1972,30,TM,Bot->Top,2603,0.107692307692308,,,0.0136670383307906
1972,30,TM,Top->Bot,2603,0.134357005758157,,,0.0147293180883925
1972,30,TM,Top->Top,2603,0.381957773512476,,,0.0192410169916931
1972,31,IGE,IGE/RRC,2602,0.29103579113594,0.0327818618822661,2600,0.0333320415551124
1972,31,RRC,IGE/RRC,2603,0.249691968243321,0.0189862004342175,2601,0.0189086462701364
1972,31,TM,Bot->Bot,2603,0.253846153846154,,,0.0176557409453777
1972,31,TM,Bot->Top,2603,0.111538461538462,,,0.013693555017086
1972,31,TM,Top->Bot,2603,0.142034548944338,,,0.0144790233097815
1972,31,TM,Top->Top,2603,0.395393474088292,,,0.0178854501854609
1972,32,IGE,IGE/RRC,2603,0.250430226967711,0.0297798232202428,2601,0.0287449961913062
1972,32,RRC,IGE/RRC,2603,0.259196708544719,0.0189371081951529,2601,0.0189422882090208
1972,32,TM,Bot->Bot,2603,0.257692307692308,,,0.017899430279494
1972,32,TM,Bot->Top,2603,0.109615384615385,,,0.0140782457549571
1972,32,TM,Top->Bot,2603,0.113243761996161,,,0.0132504482929591
1972,32,TM,Top->Top,2603,0.391554702495202,,,0.0180460284698835
1972,33,IGE,IGE/RRC,2603,0.239392855577392,0.0288797441396184,2601,0.0287028784759303
1972,33,RRC,IGE/RRC,2603,0.252867179752775,0.0189707462698805,2601,0.0191215430775108
1972,33,TM,Bot->Bot,2603,0.257692307692308,,,0.0180913619306672
1972,33,TM,Bot->Top,2603,0.0961538461538462,,,0.0135071711790639
1972,33,TM,Top->Bot,2603,0.132437619961612,,,0.0143160728475549
1972,33,TM,Top->Top,2603,0.381957773512476,,,0.0181913248134888
1972,34,IGE,IGE/RRC,2603,0.256554997958553,0.0254457817139663,2601,0.024229663644584
1972,34,RRC,IGE/RRC,2603,0.262243333194331,0.0189205344301117,2601,0.0190378818025269
1972,34,TM,Bot->Bot,2603,0.261538461538462,,,0.0179967536902957
1972,34,TM,Bot->Top,2603,0.105769230769231,,,0.0133838414055838
1972,34,TM,Top->Bot,2603,0.124760076775432,,,0.0141286361199529
1972,34,TM,Top->Top,2603,0.374280230326296,,,0.0179803728953546
1972,35,IGE,IGE/RRC,2603,0.27351549085666,0.0243376216833708,2601,0.0244479042465179
1972,35,RRC,IGE/RRC,2603,0.261881524360758,0.0189229768976056,2601,0.0191031426856658
1972,35,TM,Bot->Bot,2603,0.267307692307692,,,0.0187275330288464
1972,35,TM,Bot->Top,2603,0.109615384615385,,,0.0139491658954209
1972,35,TM,Top->Bot,2603,0.126679462571977,,,0.0145199050692072
1972,35,TM,Top->Top,2603,0.374280230326296,,,0.0183072560951499
1972,36,IGE,IGE/RRC,2603,0.272554776189949,0.0233050259622615,2601,0.0242735524001385
1972,36,RRC,IGE/RRC,2603,0.257542845949798,0.0189466612112813,2601,0.0192766109517497
1972,36,TM,Bot->Bot,2603,0.271153846153846,,,0.0185333861388075
1972,36,TM,Bot->Top,2603,0.119230769230769,,,0.0137563205118164
1972,36,TM,Top->Bot,2603,0.130518234165067,,,0.0145280108172234
1972,36,TM,Top->Top,2603,0.393474088291747,,,0.0183175893606522
1972,37,IGE,IGE/RRC,2603,0.303416651109066,0.0236364019660075,2601,0.0292918128422781
1972,37,RRC,IGE/RRC,2603,0.261822523063058,0.0189232720620771,2601,0.019365893540605
1972,37,TM,Bot->Bot,2603,0.273076923076923,,,0.0176328874207046
1972,37,TM,Bot->Top,2603,0.119230769230769,,,0.0140071713305866
1972,37,TM,Top->Bot,2603,0.122840690978887,,,0.0144046238822892
1972,37,TM,Top->Top,2603,0.381957773512476,,,0.0179548436556226
1972,38,IGE,IGE/RRC,2603,0.305016395153762,0.0245474980195101,2601,0.0263073177783272
1972,38,RRC,IGE/RRC,2603,0.261207601382348,0.0189263045368851,2601,0.019671451135009
1972,38,TM,Bot->Bot,2603,0.267307692307692,,,0.0178778383680841
1972,38,TM,Bot->Top,2603,0.105769230769231,,,0.0136328633841866
1972,38,TM,Top->Bot,2603,0.122840690978887,,,0.0144436096506097
1972,38,TM,Top->Top,2603,0.391554702495202,,,0.018498137693988
1972,39,IGE,IGE/RRC,2603,0.269859742681268,0.0242678480362434,2601,0.0277756277452485
