n,parents_age,child_age,coef,se,df
5820,25,29,0.2196599171712,0.0353007681737579,5818
5821,26,29,0.302827272200363,0.0346639745582646,5819
5821,27,29,0.309741055603314,0.0342230432734824,5819
5827,30,29,0.377643371577598,0.0326061338346092,5825
5827,31,29,0.389765242338113,0.0304664279641892,5825
5828,32,29,0.349558223523963,0.0290155034320945,5826
5831,49,29,0.366400214928617,0.0259020867798425,5829
5833,28,29,0.348159621207737,0.0324145189203314,5831
5833,33,29,0.39621973383659,0.0292796656454278,5831
5834,29,29,0.37091895124264,0.0315235987045543,5832
5834,34,29,0.392375843274627,0.0291574173346617,5832
5836,59,29,0.354170127019459,0.0267482229005937,5834
5836,60,29,0.341414853484977,0.026510954466073,5834
5837,35,29,0.361405509947054,0.0267287631928481,5835
5837,36,29,0.389596792192551,0.0280195045169997,5835
5837,51,29,0.364642833336016,0.026706104204939,5835
5837,53,29,0.366671940767435,0.0270088758883642,5835
5837,58,29,0.357116847720821,0.0267178226688543,5835
5838,37,29,0.405476406250702,0.0279407779907363,5836
5838,38,29,0.404768975523524,0.0282366642822046,5836
5838,39,29,0.380238638386465,0.0271364514738292,5836
5838,40,29,0.37849018107597,0.0271594323277076,5836
5838,41,29,0.369685752974815,0.025931554591631,5836
5838,42,29,0.384209250758573,0.0271497692016815,5836
5838,43,29,0.37481419388117,0.0268839031825962,5836
5838,44,29,0.380373301516028,0.0275477027725887,5836
5838,45,29,0.384564617848959,0.0275243672204007,5836
5838,46,29,0.388729772423082,0.0275061301634411,5836
5838,47,29,0.375123922583156,0.0269502705319044,5836
5838,48,29,0.37860662684496,0.0273184563684206,5836
5838,50,29,0.386530635032237,0.0275483710019027,5836
5838,52,29,0.389534750462608,0.0277924213360218,5836
5838,54,29,0.378664795764634,0.0279799779708335,5836
5838,55,29,0.383683737524259,0.02731782513628,5836
5838,56,29,0.399729979421147,0.0285873160495245,5836
5838,57,29,0.390041165586373,0.0284008577584316,5836
6487,25,44,0.202796942701561,0.0379609339506355,6485
6514,26,44,0.273277892567952,0.0372367897798981,6512
6514,27,44,0.301980419641832,0.0369527081453998,6512
6592,30,44,0.36732888988287,0.0337828777357738,6590
6594,28,44,0.338022427193891,0.0350680881899476,6592
6598,31,44,0.409121217765508,0.032101761726177,6596
6618,32,44,0.36081567335069,0.0299170833705277,6616
6622,33,44,0.419969130221121,0.030380700738278,6620
6625,29,44,0.394078104119996,0.0343889114692013,6623
6634,34,44,0.38426626803206,0.0287700560845988,6632
6648,59,44,0.422736629462501,0.027063325420731,6646
6653,60,44,0.39600529690784,0.026927592469177,6651
6663,35,44,0.376509537710674,0.0271777289858508,6661
6663,36,44,0.401868901070585,0.0280565191898784,6661
6663,53,44,0.448958844713648,0.0272085641312554,6661
6665,38,44,0.447330148510533,0.0287200345483692,6663
6667,49,44,0.419404941423078,0.0260184352635087,6665
6669,58,44,0.425283363387119,0.0273223805437591,6667
6673,56,44,0.472749421300043,0.0291429962937938,6671
6673,57,44,0.435948427627728,0.027818513478582,6671
6674,37,44,0.451713965209247,0.029232526576577,6672
6674,39,44,0.413645088522342,0.0270000723745094,6672
6674,40,44,0.429763280949509,0.027220132708169,6672
6674,41,44,0.402889531810655,0.0260719221288872,6672
6674,42,44,0.438973412687828,0.0274957009705241,6672
6674,43,44,0.436904922806019,0.0270824624965379,6672
6674,45,44,0.460900248692715,0.0276471001661604,6672
6674,46,44,0.483858970377813,0.0282541049721427,6672
6674,51,44,0.418841301530588,0.0263822103901576,6672
6674,52,44,0.474818465484145,0.0283833721738412,6672
6674,54,44,0.463032428221881,0.0279515804017319,6672
6674,55,44,0.463719452731739,0.0277372985775645,6672
6678,48,44,0.455042682717172,0.0281952496310097,6676
6679,44,44,0.437191168677397,0.0278272618337901,6677
6679,47,44,0.440825268093257,0.0271931008961006,6677
6679,50,44,0.451490871233248,0.0279353723848641,6677
12040,25,30,0.289793474846502,0.0252275408555192,12037
12042,27,30,0.381966448280971,0.024549424595565,12039
12043,26,30,0.368386366927023,0.02482428059508,12040
12064,30,30,0.435241685432297,0.0230518936664696,12061
12065,31,30,0.438786217424273,0.021738527694647,12062
12067,32,30,0.411065965932275,0.0206637528643614,12064
12071,49,30,0.435955965221694,0.01826973732055,12068
12073,28,30,0.416117504596581,0.0231575064044632,12070
12075,33,30,0.462845344775796,0.0208163787214913,12072
12076,29,30,0.426968743511037,0.0225306409685253,12073
12076,34,30,0.459533436760692,0.0206442559208119,12073
12078,59,30,0.414966582326125,0.0189385316347196,12075
12080,58,30,0.422014110074882,0.0188364382463137,12077
12081,51,30,0.43848903108695,0.018944170442633,12078
12081,60,30,0.398063276628719,0.0187212632345278,12078
12082,35,30,0.427657446134964,0.0189434360213453,12079
12082,36,30,0.458054869953018,0.0198687163588173,12079
12082,37,30,0.47386164147579,0.0198333706017953,12079
12082,38,30,0.474783514744469,0.0199585649524289,12079
12082,39,30,0.451564552535651,0.0192396758468549,12079
12082,41,30,0.440168342194362,0.0183697581061185,12079
