n,parents_age,child_age,coef,se,df
5824,25,29,0.0953087337283299,0.0130461175797281,5822
5825,26,29,0.13980758994088,0.0129760539485367,5823
5825,27,29,0.142012476871732,0.0129719059921404,5823
5831,30,29,0.168851792922057,0.0129097706326255,5829
5831,31,29,0.186884178080542,0.0128670775919334,5829
5832,32,29,0.177152450676889,0.0128896197072671,5830
5835,49,29,0.20535683620027,0.0128143779976007,5833
5837,28,29,0.159537232861597,0.0129236445353971,5835
5837,33,29,0.197938556603977,0.0128322385248545,5835
5838,29,29,0.172725897240536,0.0128931265437424,5836
5838,34,29,0.193650208429234,0.0128422893090513,5836
5840,59,29,0.202332575661114,0.0128172598754934,5838
5840,60,29,0.197677697326828,0.0128296409065895,5838
5841,35,29,0.195594814447787,0.0128340445168938,5839
5841,36,29,0.204415800037579,0.0128104801650212,5839
5841,51,29,0.204059319789785,0.0128114534739391,5839
5841,53,29,0.203963123827597,0.012811825706152,5839
5841,58,29,0.204010213865161,0.0128115874104311,5839
5842,37,29,0.208288195876409,0.0127986804700947,5840
5842,38,29,0.2077232624359,0.0128002525255608,5840
5842,39,29,0.206898459612756,0.0128025397143345,5840
5842,40,29,0.206515948315945,0.0128035971962855,5840
5842,41,29,0.206619485208314,0.0128033111623404,5840
5842,42,29,0.207548042747927,0.0128007694592093,5840
5842,43,29,0.203951766787058,0.0128106333223248,5840
5842,44,29,0.204249970543831,0.0128097264220469,5840
5842,45,29,0.20646212556634,0.0128037458293762,5840
5842,46,29,0.20744017942462,0.0128010385900826,5840
5842,47,29,0.20393348348662,0.0128106831623563,5840
5842,48,29,0.204134188930758,0.0128101357866872,5840
5842,50,29,0.203174007512234,0.0128127493653133,5840
5842,52,29,0.205815841710399,0.0128055274011884,5840
5842,54,29,0.202468426892683,0.012814694701553,5840
5842,55,29,0.209523653953219,0.0127952269711795,5840
5842,56,29,0.210670776982965,0.0127920012694969,5840
5842,57,29,0.21221355885141,0.012787633910107,5840
6495,25,44,0.103084490692914,0.012343905415876,6493
6522,26,44,0.137362928141527,0.0122668309773121,6520
6522,27,44,0.149163223745857,0.0122456755483458,6520
6600,30,44,0.178111821272941,0.0121140712624209,6598
6602,28,44,0.167802139475666,0.0121344708869843,6600
6606,31,44,0.203998001842727,0.0120465806047692,6604
6626,32,44,0.201325672515579,0.0120351330869298,6624
6630,33,44,0.226432740601938,0.011963831643547,6628
6633,29,44,0.18991178534793,0.0120566735152286,6631
6642,34,44,0.229607941052599,0.0119441505550633,6640
6656,59,44,0.254099976900067,0.0118567544681663,6654
6661,60,44,0.237777247080389,0.0119028889713643,6659
6671,35,44,0.235273748684353,0.0119014767289708,6669
6671,36,44,0.244367622263826,0.0118739676412678,6669
6671,53,44,0.257991431880234,0.0118306745418664,6669
6673,38,44,0.25331538025101,0.0118440953704288,6671
6675,49,44,0.256022108135877,0.0118334439617117,6673
6677,58,44,0.250601245164351,0.0118492089567385,6675
6681,56,44,0.254697427457619,0.0118325156339119,6679
6681,57,44,0.251160847275096,0.011843828854983,6679
6682,37,44,0.251511755289092,0.0118418319862801,6680
6682,39,44,0.259038054520824,0.0118175985357133,6680
6682,40,44,0.258345203397252,0.0118197891592391,6680
6682,41,44,0.255514621690821,0.011828996517721,6680
6682,42,44,0.257270983271226,0.0118232961870919,6680
6682,43,44,0.255497918385066,0.0118290505282754,6680
6682,45,44,0.25912594823722,0.01181723041965,6680
6682,46,44,0.261130524533252,0.0118106228864432,6680
6682,51,44,0.249798587499507,0.0118473159789188,6680
