nobs,parent_var,estimate,group,n,coef,se,df,boot_se
1,family,IGE,IGE/RRC,64537,0.493233270599043,0.00770802786363061,64526,0.0161809224210232
1,family,RRC,IGE/RRC,64578,0.296760361895046,0.00375816520408866,64567,0.00488455547953528
1,family,TM,Bot->Bot,64578,0.314537990860507,,,0.00516422501814956
1,family,TM,Bot->Top,64578,0.102780574703741,,,0.00440636040161494
1,family,TM,Top->Bot,64578,0.107516061614676,,,0.00285299135016895
1,family,TM,Top->Top,64578,0.38067961916557,,,0.00408795661445872
1,father,IGE,IGE/RRC,57856,0.495918795468238,0.00899410948072173,57845,0.0253350845994913
1,father,RRC,IGE/RRC,57902,0.268967523587703,0.00400302315193072,57891,0.00770859545592538
1,father,TM,Bot->Bot,57902,0.293909287257019,,,0.00883139737784713
1,father,TM,Bot->Top,57902,0.116630669546436,,,0.00808989173035237
1,father,TM,Top->Bot,57902,0.111005610703496,,,0.00300156335878057
1,father,TM,Top->Top,57902,0.377039274924471,,,0.00433067577840316
2,family,IGE,IGE/RRC,64507,0.585117409798313,0.0088715799440391,64496,0.0186349197590092
2,family,RRC,IGE/RRC,64548,0.308132104069449,0.00374482889002593,64537,0.00466486125366381
2,family,TM,Bot->Bot,64548,0.32295056562839,,,0.00416202573510037
2,family,TM,Bot->Top,64548,0.0890283589028359,,,0.00281906999540581
2,family,TM,Top->Bot,64548,0.109949670925281,,,0.00287116886364011
2,family,TM,Top->Top,64548,0.384591560201316,,,0.00387139407953067
2,father,IGE,IGE/RRC,57835,0.532566034479379,0.0094288200314299,57824,0.0346167184762339
2,father,RRC,IGE/RRC,57902,0.285682962591839,0.00398295907769716,57891,0.0055415794700846
2,father,TM,Bot->Bot,57902,0.306436285097192,,,0.00487166721785894
2,father,TM,Bot->Top,57902,0.0969330453563715,,,0.00358432764452781
2,father,TM,Top->Bot,57902,0.11178247734139,,,0.00299241672834211
2,father,TM,Top->Top,57902,0.380060422960725,,,0.0041353352454318
3,family,IGE,IGE/RRC,64438,0.609445624874412,0.00920216149466926,64427,0.0194857660821146
3,family,RRC,IGE/RRC,64479,0.30920790469607,0.00374545987082673,64468,0.00460469997712024
3,family,TM,Bot->Bot,64479,0.321256788207913,,,0.00412891231620022
3,family,TM,Bot->Top,64479,0.0903025601241272,,,0.0028564732068892
3,family,TM,Top->Bot,64479,0.109147286821705,,,0.00288531008002999
3,family,TM,Top->Top,64479,0.385736434108527,,,0.00395814822297624
3,father,IGE,IGE/RRC,57784,0.551182601931322,0.00971556191369972,57773,0.0325993032789795
3,father,RRC,IGE/RRC,57902,0.286167788597318,0.00398236295382021,57891,0.00563244008057155
3,father,TM,Bot->Bot,57902,0.302375809935205,,,0.00533623736041708
3,father,TM,Bot->Top,57902,0.098488120950324,,,0.00338530707327941
3,father,TM,Top->Bot,57902,0.110832973672853,,,0.00292781928646493
3,father,TM,Top->Top,57902,0.380233059991368,,,0.00422730513116352
4,family,IGE,IGE/RRC,64500,0.63329805632883,0.00953312963045998,64489,0.0200993963902639
4,family,RRC,IGE/RRC,64541,0.310657093103151,0.00374180336849819,64530,0.00486756576269858
4,family,TM,Bot->Bot,64541,0.322613143211407,,,0.00447685584823057
4,family,TM,Bot->Top,64541,0.0877247365158091,,,0.00298448414784334
4,family,TM,Top->Bot,64541,0.110525908140345,,,0.00284584011474223
4,family,TM,Top->Top,64541,0.386569591820928,,,0.0038806310006688
4,father,IGE,IGE/RRC,57830,0.572287758317117,0.00993414099461164,57819,0.0364949698247057
4,father,RRC,IGE/RRC,57902,0.288298477285429,0.00397970375587919,57891,0.00609661900750641
4,father,TM,Bot->Bot,57902,0.306090712742981,,,0.00499228769813917
4,father,TM,Bot->Top,57902,0.0977105831533477,,,0.00415839969333896
4,father,TM,Top->Bot,57902,0.111264566249461,,,0.0029878039101012
4,father,TM,Top->Top,57902,0.381873111782477,,,0.00437636144004918
5,family,IGE,IGE/RRC,64431,0.636684073908997,0.00964039749095472,64420,0.0196764454920363
5,family,RRC,IGE/RRC,64472,0.308324958158315,0.00374679649068027,64461,0.00526671054620298
5,family,TM,Bot->Bot,64472,0.320636152055857,,,0.0049644103781299
5,family,TM,Bot->Top,64472,0.0906904577191621,,,0.00342759976738109
5,family,TM,Top->Bot,64472,0.109861994107614,,,0.00282295133971754
5,family,TM,Top->Top,64472,0.385331059078927,,,0.00396976837378939
5,father,IGE,IGE/RRC,57779,0.572744615829277,0.0100532418979255,57768,0.0189521234008502
5,father,RRC,IGE/RRC,57902,0.281780957243361,0.0039877572619282,57891,0.00817864358477885
5,father,TM,Bot->Bot,57902,0.303153347732181,,,0.00632130748863402
5,father,TM,Bot->Top,57902,0.101079913606911,,,0.0055313169405507
5,father,TM,Top->Bot,57902,0.112041432887354,,,0.00306953030125356
5,father,TM,Top->Top,57902,0.376694000863185,,,0.00455917418148583
6,family,IGE,IGE/RRC,64471,0.649152474618237,0.00977053837121525,64460,0.0246096180737341
6,family,RRC,IGE/RRC,64512,0.308968915716468,0.00374480676587148,64501,0.00523245012230119
6,family,TM,Bot->Bot,64512,0.321187688968137,,,0.0050744199086645
6,family,TM,Bot->Top,64512,0.0903946042328863,,,0.00331704310113147
6,family,TM,Top->Bot,64512,0.111972103835723,,,0.00284468917437212
6,family,TM,Top->Top,64512,0.385509492444789,,,0.00395895927582269
6,father,IGE,IGE/RRC,57797,0.550459224389715,0.00971394109263406,57786,0.0605981947817577
6,father,RRC,IGE/RRC,57869,0.288415813717135,0.00398070089573894,57858,0.00643079431521578
6,father,TM,Bot->Bot,57869,0.305963699222126,,,0.00570544451349133
6,father,TM,Bot->Top,57869,0.0973206568712187,,,0.00436367720975759
6,father,TM,Top->Bot,57869,0.112607944732297,,,0.00313535582359496
6,father,TM,Top->Top,57869,0.37979274611399,,,0.00435587100889286
7,family,IGE,IGE/RRC,64405,0.658888256691273,0.0100390811879374,64394,0.0232007103153222
7,family,RRC,IGE/RRC,64446,0.3053434393428,0.00375133234586862,64435,0.00570161058263119
7,family,TM,Bot->Bot,64446,0.319441210710128,,,0.00578316545754477
7,family,TM,Bot->Top,64446,0.0942180830422972,,,0.00421077828792349
7,family,TM,Top->Bot,64446,0.110818146568437,,,0.00289905447827705
7,family,TM,Top->Top,64446,0.384335013571152,,,0.00397478603341621
7,father,IGE,IGE/RRC,57749,0.579609117954219,0.010227000611972,57738,0.0239577315282708
7,father,RRC,IGE/RRC,57869,0.280828933948955,0.00399005330664084,57858,0.00840933976826673
7,father,TM,Bot->Bot,57869,0.302160760587727,,,0.00758742232883683
7,father,TM,Bot->Top,57869,0.102074330164218,,,0.00677314938235974
7,father,TM,Top->Bot,57869,0.112003454231434,,,0.00351933647902328
7,father,TM,Top->Top,57869,0.377892918825561,,,0.00457836439073773
8,family,IGE,IGE/RRC,64252,0.699703860944403,0.0108147569076344,64241,0.0308052899222957
8,family,RRC,IGE/RRC,64293,0.302022187415692,0.00375996353920377,64282,0.00772072537914317
8,family,TM,Bot->Bot,64293,0.316088377158861,,,0.00683549133172879
8,family,TM,Bot->Top,64293,0.0928115761630621,,,0.00618593827730201
8,family,TM,Top->Bot,64293,0.113046182553258,,,0.00306015156694449
8,family,TM,Top->Top,64293,0.383766132794278,,,0.00425250104800202
8,father,IGE,IGE/RRC,57544,0.577908412005963,0.0104779151198498,57533,0.0337308486225503
8,father,RRC,IGE/RRC,57738,0.272394875791919,0.00400467870318081,57727,0.0122230751382444
8,father,TM,Bot->Bot,57738,0.298596673596674,,,0.00881822318266434
8,father,TM,Bot->Top,57738,0.108541233541234,,,0.0107468000793174
8,father,TM,Top->Bot,57738,0.112361495844875,,,0.0036920283701811
8,father,TM,Top->Top,57738,0.376817867036011,,,0.00513237635469347
9,family,IGE,IGE/RRC,64165,0.691939330739948,0.0106913700346713,64154,0.0328700374691435
9,family,RRC,IGE/RRC,64206,0.299301588216551,0.00376589990317032,64195,0.00852245845646142
9,family,TM,Bot->Bot,64206,0.317831268988081,,,0.00708355663997033
9,family,TM,Bot->Top,64206,0.0976863753213368,,,0.0074918073368407
9,family,TM,Top->Bot,64206,0.111171662125341,,,0.00333023954792714
9,family,TM,Top->Top,64206,0.384040482678085,,,0.00443687160224043
9,father,IGE,IGE/RRC,57468,0.563490963185198,0.0102441703754468,57457,0.0398992959621935
9,father,RRC,IGE/RRC,57738,0.268237890046404,0.00400954621534913,57727,0.0132406324439999
9,father,TM,Bot->Bot,57738,0.295391545391545,,,0.00960463348529774
9,father,TM,Bot->Top,57738,0.114171864171864,,,0.0120931435905667
9,father,TM,Top->Bot,57738,0.115141546186477,,,0.00410972085654984
9,father,TM,Top->Top,57738,0.371569561076963,,,0.0058126860627116
10,family,IGE,IGE/RRC,64137,0.713701437408981,0.0111082815431673,64126,0.0329914889470606
10,family,RRC,IGE/RRC,64178,0.302307869490877,0.00376297877229718,64167,0.00881466999603317
10,family,TM,Bot->Bot,64178,0.314891295877815,,,0.00803815790994785
10,family,TM,Bot->Top,64178,0.0934309982077457,,,0.00710676102705814
10,family,TM,Top->Bot,64178,0.112547706207649,,,0.00319868531861021
10,family,TM,Top->Top,64178,0.386167146974063,,,0.00444297068586618
10,father,IGE,IGE/RRC,57440,0.572217662670448,0.0105017964413344,57429,0.0388234264423889
10,father,RRC,IGE/RRC,57710,0.273945969488857,0.00400381421813462,57699,0.0133343935959951
10,father,TM,Bot->Bot,57710,0.298231929277171,,,0.0102809242446182
10,father,TM,Bot->Top,57710,0.106430923903623,,,0.0119142024327079
10,father,TM,Top->Bot,57710,0.112583354983979,,,0.00424316846851782
10,father,TM,Top->Top,57710,0.376721226292544,,,0.00597115954310341
11,family,IGE,IGE/RRC,63968,0.703691987843754,0.0110612596111557,63957,0.0389566895718884
11,family,RRC,IGE/RRC,64009,0.297745240899956,0.00377361709299628,63998,0.0103085792415429
11,family,TM,Bot->Bot,64009,0.314082525789309,,,0.00861779032159072
11,family,TM,Bot->Top,64009,0.098155673648015,,,0.00844329842324827
11,family,TM,Top->Bot,64009,0.112143693869582,,,0.00394508181753929
11,family,TM,Top->Top,64009,0.385474424053104,,,0.00533408824662582
11,father,IGE,IGE/RRC,57290,0.562395841751733,0.0104057140336046,57279,0.0481856375771886
11,father,RRC,IGE/RRC,57710,0.267770955646925,0.00401104992633042,57699,0.0151634727151571
11,father,TM,Bot->Bot,57710,0.292078349800659,,,0.0117195266690211
11,father,TM,Bot->Top,57710,0.112584503380135,,,0.0131028273141072
11,father,TM,Top->Bot,57710,0.11561444531047,,,0.00545523955247354
11,father,TM,Top->Top,57710,0.371958084350914,,,0.00848098052793112
