nobs,parent_var,estimate,group,n,coef,se,df,boot_se
1,family,IGE,IGE/RRC,63968,0.635900046627413,0.0102509425630936,63957,0.0475561918459574
1,family,RRC,IGE/RRC,64009,0.288742184324414,0.00378453696728007,63998,0.0116279981190858
1,family,TM,Bot->Bot,64009,0.313222882150672,,,0.00947756456210903
1,family,TM,Bot->Top,64009,0.107299155986246,,,0.00882769138515812
1,family,TM,Top->Bot,64009,0.113861772745021,,,0.00539979922276612
1,family,TM,Top->Top,64009,0.378680203045685,,,0.00936392582127669
1,father,IGE,IGE/RRC,57290,0.557443383589264,0.0106809482218423,57279,0.0554651758742642
1,father,RRC,IGE/RRC,57710,0.258962311420364,0.00402105987264379,57699,0.0170723980852777
1,father,TM,Bot->Bot,57710,0.294938464205235,,,0.0134865487776957
1,father,TM,Bot->Top,57710,0.114577916449991,,,0.0129748509247821
1,father,TM,Top->Bot,57710,0.120810600155885,,,0.0072027324944599
1,father,TM,Top->Top,57710,0.357755261106781,,,0.0121999801317733
2,family,IGE,IGE/RRC,63968,0.661800245072405,0.0105079488203791,63957,0.0514807737062553
2,family,RRC,IGE/RRC,64009,0.29731931262585,0.00377413845940963,63998,0.0106104937673348
2,family,TM,Bot->Bot,64009,0.314551422319475,,,0.00837849221195883
2,family,TM,Bot->Top,64009,0.0973741794310722,,,0.00800486406750125
2,family,TM,Top->Bot,64009,0.113549394767669,,,0.00557840018605793
2,family,TM,Top->Top,64009,0.383912534166341,,,0.00959316803064169
2,father,IGE,IGE/RRC,57290,0.549172336124564,0.0103781946801252,57279,0.0525129161941305
2,father,RRC,IGE/RRC,57710,0.265174955437804,0.00401403937455772,57699,0.0162035385829937
2,father,TM,Bot->Bot,57710,0.290951638065523,,,0.0125987391961331
2,father,TM,Bot->Top,57710,0.108771017507367,,,0.012728982240672
2,father,TM,Top->Bot,57710,0.121070407898155,,,0.00770154871742969
2,father,TM,Top->Top,57710,0.363297826275223,,,0.0126099577895748
3,family,IGE,IGE/RRC,63968,0.67086310519861,0.0106364262835827,63957,0.0462974345658422
3,family,RRC,IGE/RRC,64009,0.295961481964504,0.0037758073197987,63998,0.0105291113356566
3,family,TM,Bot->Bot,64009,0.314551422319475,,,0.00825596373917827
3,family,TM,Bot->Top,64009,0.0996405126602063,,,0.00825276880020984
3,family,TM,Top->Bot,64009,0.114252245216712,,,0.00548835911435706
3,family,TM,Top->Top,64009,0.382584927762593,,,0.00936829050087431
