n_obs,estimate,group,n,coef,se,df,boot_se
1,IGE,IGE/RRC,64533,0.537963906937548,0.00835481560782541,64522,0.0122276426769179
1,RRC,IGE/RRC,21902,0.293375849683667,0.00646041659683025,21897,0.00662570334891131
1,TM,Bot->Bot,21902,0.310801552865951,,,0.00669473574244029
1,TM,Bot->Top,21902,0.0975108472253939,,,0.00471123822162634
1,TM,Top->Bot,21902,0.11296211775445,,,0.00455539224467939
1,TM,Top->Top,21902,0.388178913738019,,,0.00622867713598196
2,IGE,IGE/RRC,64530,0.532515538890711,0.0081600367943063,64519,0.0120626585723123
2,RRC,IGE/RRC,21902,0.30141192979205,0.00644355685708605,21897,0.0067441462322121
2,TM,Bot->Bot,21902,0.312400091345056,,,0.00656698554935852
2,TM,Bot->Top,21902,0.099566110984243,,,0.00491114394096319
2,TM,Top->Bot,21902,0.10999543587403,,,0.00440976788433822
2,TM,Top->Top,21902,0.390917389319945,,,0.0062079492065825
3,IGE,IGE/RRC,64531,0.532857204745313,0.0081431263024738,64520,0.0120599109954639
3,RRC,IGE/RRC,21902,0.302557055891781,0.0064411054790474,21897,0.00671463105685513
3,TM,Bot->Bot,21902,0.314226992464033,,,0.006594843112495
3,TM,Bot->Top,21902,0.0963690340260333,,,0.00481058615927044
3,TM,Top->Bot,21902,0.111821086261981,,,0.0045589355166065
3,TM,Top->Top,21902,0.390689183021451,,,0.00626279494174205
4,IGE,IGE/RRC,64531,0.52884327927495,0.008052848102867,64520,0.011903298486303
4,RRC,IGE/RRC,21902,0.305964763552165,0.00643374999081814,21897,0.00668994377815346
4,TM,Bot->Bot,21902,0.313085179264672,,,0.00674614308107618
4,TM,Bot->Top,21902,0.0993377483443709,,,0.00489438706505546
4,TM,Top->Bot,21902,0.10702875399361,,,0.00452709694551327
4,TM,Top->Top,21902,0.390460976722958,,,0.00637987330047225
5,IGE,IGE/RRC,64531,0.529384898617809,0.00804545135697235,64520,0.0119252768975735
5,RRC,IGE/RRC,21902,0.306363220750947,0.00643288399415208,21897,0.00669436876854697
5,TM,Bot->Bot,21902,0.3128568166248,,,0.00666997512215167
5,TM,Bot->Top,21902,0.0975108472253939,,,0.00478634872304221
5,TM,Top->Bot,21902,0.107713372889092,,,0.00450933306790613
5,TM,Top->Top,21902,0.39297124600639,,,0.00634050424520965
6,IGE,IGE/RRC,64531,0.526875063084407,0.00798399497360637,64520,0.0118704479814065
6,RRC,IGE/RRC,21902,0.308787333090205,0.00642758866924256,21897,0.00661795807311957
6,TM,Bot->Bot,21902,0.316967344142498,,,0.00670508518002945
6,TM,Bot->Top,21902,0.0959123087462891,,,0.00493897215184006
6,TM,Top->Bot,21902,0.104518484710178,,,0.00452436634421391
6,TM,Top->Top,21902,0.394112277498859,,,0.00633502851925124
7,IGE,IGE/RRC,64530,0.527499342222819,0.00798030267570741,64519,0.0118814146590342
7,RRC,IGE/RRC,21902,0.309202063912198,0.00642667809489902,21897,0.00661629311685477
7,TM,Bot->Bot,21902,0.316967344142498,,,0.00686494533323428
7,TM,Bot->Top,21902,0.0975108472253939,,,0.00485981129919094
7,TM,Top->Bot,21902,0.105659516202647,,,0.00457247343723524
7,TM,Top->Top,21902,0.393655864901871,,,0.00634142217102159
