n,var1,var2,order1,order2,cor,lab
85,density_dep,density_dep,1,14,1,1
85,foreign_dep,density_dep,2,14,0.519590529275961,0.52
85,single_dep,density_dep,3,14,0.491044277780241,0.49
85,lmean_wage_dep,density_dep,4,14,0.697220394645042,0.7
85,unemp_dep,density_dep,5,14,0.115995064658809,0.12
85,gini_dep,density_dep,6,14,0.620415107186763,0.62
85,theil_dep,density_dep,7,14,0.705943893217447,0.71
85,sharetop1_dep,density_dep,8,14,0.530769542018094,0.53
85,higher_edu_dep,density_dep,9,14,0.743508961540568,0.74
85,dist_edu_dep,density_dep,10,14,-0.770741059811319,-0.77
85,highschool_dep,density_dep,11,14,0.730508513339723,0.73
85,pct_crimes_dep,density_dep,12,14,0.698403672954086,0.7
85,participation_dep,density_dep,13,14,-0.551155814000615,-0.55
85,amenities_dep,density_dep,14,14,-0.469497426233278,-0.47
85,density_dep,foreign_dep,1,13,0.519590529275961,0.52
85,foreign_dep,foreign_dep,2,13,1,1
85,single_dep,foreign_dep,3,13,0.489772693463077,0.49
85,lmean_wage_dep,foreign_dep,4,13,0.501395864034726,0.5
85,unemp_dep,foreign_dep,5,13,-0.0815330527369909,-0.08
85,gini_dep,foreign_dep,6,13,0.404803463203836,0.4
85,theil_dep,foreign_dep,7,13,0.363638383338064,0.36
85,sharetop1_dep,foreign_dep,8,13,0.32114386085214,0.32
85,higher_edu_dep,foreign_dep,9,13,0.257582291696345,0.26
85,dist_edu_dep,foreign_dep,10,13,-0.466270435856474,-0.47
85,highschool_dep,foreign_dep,11,13,0.569803028451983,0.57
85,pct_crimes_dep,foreign_dep,12,13,0.581346898248991,0.58
85,participation_dep,foreign_dep,13,13,-0.549390519510932,-0.55
85,amenities_dep,foreign_dep,14,13,-0.120575449293978,-0.12
85,density_dep,single_dep,1,12,0.491044277780241,0.49
85,foreign_dep,single_dep,2,12,0.489772693463077,0.49
85,single_dep,single_dep,3,12,1,1
85,lmean_wage_dep,single_dep,4,12,0.269689776604454,0.27
85,unemp_dep,single_dep,5,12,0.429764571844347,0.43
85,gini_dep,single_dep,6,12,0.285305537219767,0.29
85,theil_dep,single_dep,7,12,0.247613766823151,0.25
85,sharetop1_dep,single_dep,8,12,0.114365025919179,0.11
85,higher_edu_dep,single_dep,9,12,0.344936576412476,0.34
85,dist_edu_dep,single_dep,10,12,-0.528228399477864,-0.53
85,highschool_dep,single_dep,11,12,0.428225387444762,0.43
85,pct_crimes_dep,single_dep,12,12,0.555729505731194,0.56
85,participation_dep,single_dep,13,12,-0.591999486005216,-0.59
85,amenities_dep,single_dep,14,12,-0.108396361310954,-0.11
85,density_dep,lmean_wage_dep,1,11,0.697220394645042,0.7
85,foreign_dep,lmean_wage_dep,2,11,0.501395864034726,0.5
85,single_dep,lmean_wage_dep,3,11,0.269689776604454,0.27
85,lmean_wage_dep,lmean_wage_dep,4,11,1,1
85,unemp_dep,lmean_wage_dep,5,11,-0.194833726307047,-0.19
85,gini_dep,lmean_wage_dep,6,11,0.249801468108595,0.25
85,theil_dep,lmean_wage_dep,7,11,0.368185330371658,0.37
85,sharetop1_dep,lmean_wage_dep,8,11,0.433049264082672,0.43
85,higher_edu_dep,lmean_wage_dep,9,11,0.514706791474896,0.51
85,dist_edu_dep,lmean_wage_dep,10,11,-0.566873799519238,-0.57
85,highschool_dep,lmean_wage_dep,11,11,0.66374964511867,0.66
85,pct_crimes_dep,lmean_wage_dep,12,11,0.441745718125731,0.44
85,participation_dep,lmean_wage_dep,13,11,-0.565533635359668,-0.57
85,amenities_dep,lmean_wage_dep,14,11,-0.419803847838515,-0.42
85,density_dep,unemp_dep,1,10,0.115995064658809,0.12
85,foreign_dep,unemp_dep,2,10,-0.0815330527369909,-0.08
85,single_dep,unemp_dep,3,10,0.429764571844347,0.43
85,lmean_wage_dep,unemp_dep,4,10,-0.194833726307047,-0.19
85,unemp_dep,unemp_dep,5,10,1,1
85,gini_dep,unemp_dep,6,10,0.0737459564801148,0.07
85,theil_dep,unemp_dep,7,10,0.0450699928925964,0.05
85,sharetop1_dep,unemp_dep,8,10,-0.133687827156673,-0.13
85,higher_edu_dep,unemp_dep,9,10,0.228100357833898,0.23
85,dist_edu_dep,unemp_dep,10,10,-0.187261821079254,-0.19
85,highschool_dep,unemp_dep,11,10,-0.0941138247897984,-0.09
85,pct_crimes_dep,unemp_dep,12,10,0.386388588247478,0.39
85,participation_dep,unemp_dep,13,10,-0.203918176683412,-0.2
85,amenities_dep,unemp_dep,14,10,-0.230544333226245,-0.23
85,density_dep,gini_dep,1,9,0.620415107186763,0.62
85,foreign_dep,gini_dep,2,9,0.404803463203836,0.4
85,single_dep,gini_dep,3,9,0.285305537219767,0.29
