var,measure,kept
density_dep,ige,0
foreign_dep,ige,0
single_dep,ige,0
lmean_wage_dep,ige,0
unemp_dep,ige,1
gini_dep,ige,0
theil_dep,ige,0
sharetop1_dep,ige,0
higher_edu_dep,ige,0
dist_edu_dep,ige,0
highschool_dep,ige,0
pct_crimes_dep,ige,0
participation_dep,ige,0
amenities_dep,ige,0
density_dep,rrc,0
foreign_dep,rrc,1
single_dep,rrc,1
lmean_wage_dep,rrc,0
unemp_dep,rrc,1
gini_dep,rrc,0
theil_dep,rrc,0
sharetop1_dep,rrc,0
higher_edu_dep,rrc,1
dist_edu_dep,rrc,1
highschool_dep,rrc,1
pct_crimes_dep,rrc,0
participation_dep,rrc,1
amenities_dep,rrc,1
density_dep,aum,1
foreign_dep,aum,0
single_dep,aum,1
lmean_wage_dep,aum,1
unemp_dep,aum,1
gini_dep,aum,0
theil_dep,aum,1
sharetop1_dep,aum,0
higher_edu_dep,aum,0
dist_edu_dep,aum,0
highschool_dep,aum,1
pct_crimes_dep,aum,0
participation_dep,aum,1
amenities_dep,aum,1
