n,dep,rank_dep,family_ventile,child_rank
14,63,32,1,41.0714285714286
19,56,30,20,71.9473684210526
20,6,18,7,51.5
24,35,23,2,36.625
24,63,32,2,32.875
24,83,22,20,73.75
25,63,32,17,61.8
26,29,21,2,40.8076923076923
26,31,20,7,56.0384615384615
26,14,31,20,75.4615384615385
27,14,31,2,46.0740740740741
27,63,32,3,45.5925925925926
27,31,20,4,45.3333333333333
27,34,24,7,38.3703703703704
27,63,32,9,44.1481481481481
27,68,29,9,50.0740740740741
27,42,25,20,57.8888888888889
28,14,31,19,65.6071428571429
28,63,32,19,64.5
28,68,29,20,67.6785714285714
28,63,32,20,61.8928571428572
29,56,30,3,34.4137931034483
29,6,18,3,43.5172413793103
29,29,21,4,46
29,63,32,6,43.1034482758621
29,54,27,10,46.7586206896552
29,56,30,19,62.8965517241379
30,56,30,2,35.7666666666667
30,6,18,4,40.7
30,63,32,5,38.2666666666667
30,6,18,6,46.1333333333333
30,34,24,10,39.3666666666667
30,83,22,19,62.8666666666667
30,57,17,20,69.2666666666667
30,49,28,20,66.4333333333333
30,56,30,15,55.1333333333333
31,34,24,3,40.4838709677419
31,63,32,12,50.1612903225807
31,54,27,20,75.3225806451613
31,29,21,20,64.5806451612903
32,68,29,4,41.8125
32,63,32,4,51.875
32,83,22,5,38.28125
32,34,24,5,35.5625
32,34,24,6,45.90625
32,83,22,7,37.96875
32,63,32,11,47.5625
32,83,22,15,52.25
32,14,31,16,65.3125
33,94,10,1,41.6969696969697
33,56,30,1,44.6666666666667
33,31,20,2,34.030303030303
33,75,2,8,58.6363636363636
33,63,32,8,41.5151515151515
33,6,18,8,48.8181818181818
33,34,24,8,34.969696969697
33,42,25,11,53.5151515151515
33,34,24,12,51.030303030303
33,63,32,13,53.8484848484849
33,68,29,17,66.8484848484849
33,83,22,17,51.5151515151515
34,83,22,4,33.7352941176471
34,6,18,5,44.6176470588235
34,92,6,10,48.6764705882353
34,83,22,12,47.7058823529412
34,14,31,15,51.264705882353
34,42,25,19,64.2058823529412
35,56,30,4,44.9714285714286
35,54,27,4,47.2
35,31,20,5,42.6571428571429
35,68,29,7,43.9142857142857
35,31,20,8,53.0571428571429
35,6,18,11,43.3714285714286
35,92,6,12,55.9714285714286
35,54,27,14,57.8571428571429
35,63,32,18,66.2
35,93,7,20,80.2857142857143
