dep,dep_lab,n,ige,lb,ub,coef,boot_se_ige,lb_boot,ub_boot
1,AIN,535,0.398926524590035,0.258107660652928,0.539745388527142,0.527499342222814,0.0803653833656223,0.241054778311637,0.556798270868433
2,AISNE,735,0.628715360365883,0.462158532141648,0.795272188590117,0.527499342222814,0.0877594677899026,0.456425479057335,0.801005241674431
3,ALLIER,365,0.447878289263745,0.225487011758837,0.670269566768653,0.527499342222814,0.118634465123494,0.2145811649156,0.68117541361189
6,ALPES-MARITIMES,773,0.369310870636743,0.222272657943219,0.516349083330267,0.527499342222814,0.0732752182261855,0.225468274878372,0.513153466395114
7,ARDECHE,313,0.4010426326279,0.115398260729627,0.686687004526172,0.527499342222814,0.139679809280259,0.126205687991806,0.675879577263994
8,ARDENNES,376,0.558525086775893,0.288576631516484,0.828473542035301,0.527499342222814,0.103892164720398,0.354239099158599,0.762811074393187
10,AUBE,361,0.270496946804073,0.0728168480234163,0.46817704558473,0.527499342222814,0.0834104026855895,0.106462554535786,0.43453133907236
11,AUDE,274,0.765115845467383,0.464136336366382,1.06609535456838,0.527499342222814,0.162185452864482,0.44581747671729,1.08441421421748
12,AVEYRON,243,0.366748680033326,0.162702285681331,0.57079507438532,0.527499342222814,0.0947958344341893,0.180014516644907,0.553482843421745
13,BOUCHES-DU-RHONE,1795,0.616839507090645,0.516937506990684,0.716741507190607,0.527499342222814,0.0620863292162921,0.49507033856546,0.73860867561583
14,CALVADOS,781,0.473346904549827,0.344337319885448,0.602356489214206,0.527499342222814,0.0604776761662657,0.354628384467306,0.592065424632348
16,CHARENTE,374,0.523357645563622,0.231747927291269,0.814967363835976,0.527499342222814,0.161786153548801,0.205227581408853,0.841487709718391
17,CHARENTE-MARITIME,559,0.446763892682704,0.29323473306186,0.600293052303548,0.527499342222814,0.0826028874658791,0.284512648607244,0.609015136758164
18,CHER,370,0.47851528109103,0.220649899995055,0.736380662187005,0.527499342222814,0.115388696421104,0.251611340582953,0.705419221599107
19,CORREZE,219,0.558338525321126,0.296932015211133,0.81974503543112,0.527499342222814,0.139210230007516,0.283961245389945,0.832715805252307
20,CORSE,236,0.481175751468317,0.135466354913394,0.826885148023241,0.527499342222814,0.170572103240762,0.145122500938548,0.817229001998086
21,COTE-D'OR,549,0.440685965500543,0.294611031012324,0.586760899988761,0.527499342222814,0.0644531099051731,0.31408005723567,0.567291873765416
22,COTES-D'ARMOR,590,0.30400139110122,0.154248300410189,0.45375448179225,0.527499342222814,0.0804816511752764,0.145934894152367,0.462067888050073
24,DORDOGNE,337,0.309295577672968,0.0597553786713886,0.558835776674548,0.527499342222814,0.127101353519354,0.0592782407167409,0.559312914629195
25,DOUBS,635,0.334381954268061,0.161819650466432,0.50694425806969,0.527499342222814,0.0945126888758882,0.148785619488445,0.519978289047677
26,DROME,435,0.522094334171871,0.326993721161332,0.717194947182411,0.527499342222814,0.0852960587067012,0.354448533969036,0.689740134374707
27,EURE,738,0.418219762297922,0.274296978688034,0.56214254590781,0.527499342222814,0.0688759518775383,0.283003017301439,0.553436507294405
28,EURE-ET-LOIR,505,0.525442308120784,0.366554433713251,0.684330182528317,0.527499342222814,0.114659407282453,0.300171956088949,0.750712660152619
29,FINISTERE,979,0.444013211293366,0.293470557992539,0.594555864594193,0.527499342222814,0.085017595038816,0.277175102590799,0.610851319995933
30,GARD,577,0.626030604773117,0.42144075239775,0.830620457148485,0.527499342222814,0.123229152475371,0.383996445257046,0.868064764289188
31,HAUTE-GARONNE,949,0.512246857835363,0.376490293789067,0.648003421881658,0.527499342222814,0.0836096703766921,0.348165206320895,0.676328509349831
33,GIRONDE,1304,0.429828931018644,0.31664776261693,0.543010099420357,0.527499342222814,0.0684812694129035,0.295483220948664,0.564174641088625
34,HERAULT,788,0.645056259379887,0.502607776143831,0.787504742615942,0.527499342222814,0.0948678358448745,0.458831957912151,0.831280560847623
35,ILLE-ET-VILAINE,1036,0.357203802643734,0.251129239203102,0.463278366084366,0.527499342222814,0.0626053007907377,0.234355869209755,0.480051736077713
36,INDRE,235,0.739489908701613,0.44754200917019,1.03143780823304,0.527499342222814,0.142187930898824,0.459351588641878,1.01962822876135
37,INDRE-ET-LOIRE,597,0.632839980069833,0.455513335223444,0.810166624916223,0.527499342222814,0.11720546352251,0.402653257508548,0.863026702631118
38,ISERE,1217,0.426539691040356,0.317664966023544,0.535414416057169,0.527499342222814,0.0640791938719749,0.300821542516071,0.552257839564641
39,JURA,269,0.370183309913945,0.155148012992234,0.585218606835656,0.527499342222814,0.0967594623797849,0.179674705320076,0.560691914507814
40,LANDES,326,0.392809720917687,0.157215026517365,0.628404415318008,0.527499342222814,0.109987800774313,0.176429315723272,0.609190126112102
41,LOIR-ET-CHER,357,0.569302193039128,0.331568343485356,0.8070360425929,0.527499342222814,0.147848298820589,0.278533542972567,0.860070843105689
42,LOIRE,901,0.388680388425299,0.258593965519828,0.51876681133077,0.527499342222814,0.065839183245529,0.259463994622493,0.517896782228105
44,LOIRE-ATLANTIQUE,1467,0.48153351098483,0.384300215662383,0.578766806307277,0.527499342222814,0.0552124891851887,0.373229542569747,0.589837479399913
45,LOIRET,706,0.63267253368133,0.489395796325485,0.775949271037174,0.527499342222814,0.0729521498957854,0.489442704187206,0.775902363175455
47,LOT-ET-GARONNE,319,0.73637031743737,0.45426244851646,1.01847818635828,0.527499342222814,0.166835214082849,0.408126094827561,1.06461454004718
