dep,dep_lab,n,rrc,lb,ub,coef,boot_se_rrc,lb_boot,ub_boot
1,AIN,535,0.27098936497758,0.188419538492424,0.353559191462737,0.30329699232333,0.0426314232057437,0.187243143084944,0.354735586870216
2,AISNE,735,0.400943193772671,0.33163164643392,0.470254741111422,0.30329699232333,0.0366511867382638,0.328989377597871,0.472897009947471
3,ALLIER,365,0.229066075983524,0.128806222584372,0.329325929382676,0.30329699232333,0.0507145589433105,0.129334849044181,0.328797302922867
6,ALPES-MARITIMES,773,0.239889795538756,0.169120295704119,0.310659295373393,0.30329699232333,0.0365719953455458,0.168097300478176,0.311682290599336
7,ARDECHE,313,0.189784159855184,0.0802359727078971,0.29933234700247,0.30329699232333,0.0565975093939932,0.0784217042790359,0.301146615431332
8,ARDENNES,376,0.305243682052093,0.203625505440848,0.406861858663338,0.30329699232333,0.0497698709688859,0.207379831858702,0.403107532245484
10,AUBE,361,0.199846155174306,0.100970999898328,0.298721310450284,0.30329699232333,0.0520804082011197,0.0974251401294891,0.302267170219123
11,AUDE,274,0.378540934665309,0.27309093325547,0.483990936075147,0.30329699232333,0.0509766437456429,0.278182000464602,0.478899868866016
12,AVEYRON,243,0.252744573959958,0.14134289708602,0.364146250833895,0.30329699232333,0.0597517286404794,0.135042260084153,0.370446887835763
13,BOUCHES-DU-RHONE,1795,0.329993813063273,0.286552687872031,0.373434938254515,0.30329699232333,0.0226209162247802,0.28562768295477,0.374359943171776
14,CALVADOS,781,0.311489552481596,0.242876567471998,0.380102537491194,0.30329699232333,0.0350946286421757,0.242598307986842,0.38038079697635
16,CHARENTE,374,0.240975797524956,0.144117875381956,0.337833719667956,0.30329699232333,0.0496171587251458,0.143410526689546,0.338541068360366
17,CHARENTE-MARITIME,559,0.300808059609377,0.220478108421704,0.38113801079705,0.30329699232333,0.0423841889960865,0.217555674557037,0.384060444661717
18,CHER,370,0.2597327489358,0.155555404455924,0.363910093415676,0.30329699232333,0.0512726633099947,0.158908580657442,0.360556917214158
19,CORREZE,219,0.380344887087174,0.256928217544284,0.503761556630065,0.30329699232333,0.0638709378623179,0.254458059686845,0.506231714487503
20,CORSE,236,0.17208112745809,0.0411309043858043,0.303031350530375,0.30329699232333,0.0661307979306425,0.0417932950254243,0.302368959890756
21,COTE-D'OR,549,0.290637745365943,0.213157830985955,0.368117659745931,0.30329699232333,0.0386235325018408,0.214769142283985,0.366506348447901
22,COTES-D'ARMOR,590,0.253726863488532,0.174126062266619,0.333327664710445,0.30329699232333,0.0403496531517688,0.174479876956022,0.332973850021043
24,DORDOGNE,337,0.248227032220724,0.149636079305139,0.346817985136308,0.30329699232333,0.048870983271464,0.152094357362126,0.344359707079322
25,DOUBS,635,0.251670125157759,0.173218700528917,0.3301215497866,0.30329699232333,0.0382033440211874,0.176649504001079,0.326690746314439
26,DROME,435,0.327596969390236,0.239596744153867,0.415597194626604,0.30329699232333,0.0449410528694545,0.239267228432748,0.415926710347724
27,EURE,738,0.251325805405508,0.180097302861225,0.322554307949791,0.30329699232333,0.0361655907051563,0.180325792734597,0.322325818076419
28,EURE-ET-LOIR,505,0.305735715871978,0.220000426758646,0.39147100498531,0.30329699232333,0.0442666109644498,0.218765485765582,0.392705945978374
29,FINISTERE,979,0.217157775034747,0.151585379825891,0.282730170243603,0.30329699232333,0.0346273888639827,0.149205158111891,0.285110391957603
30,GARD,577,0.282720718688053,0.202657561002368,0.362783876373738,0.30329699232333,0.0441434181620934,0.196018709476684,0.369422727899422
31,HAUTE-GARONNE,949,0.286021344042505,0.224006695029749,0.348035993055261,0.30329699232333,0.0318694853992021,0.223478365776261,0.348564322308749
33,GIRONDE,1304,0.246229969259996,0.194088954527548,0.298370983992445,0.30329699232333,0.0278264874269165,0.191640309281846,0.300819629238146
34,HERAULT,788,0.320571426602051,0.255641210992629,0.385501642211474,0.30329699232333,0.0322076215465091,0.257348293376546,0.383794559827556
35,ILLE-ET-VILAINE,1036,0.262812547884115,0.203937845783266,0.321687249984964,0.30329699232333,0.0323762957718329,0.199281808831978,0.326343286936253
36,INDRE,235,0.389915156580101,0.269260133560934,0.510570179599268,0.30329699232333,0.0604027609662495,0.270909781953085,0.508920531207117
37,INDRE-ET-LOIRE,597,0.313644701688449,0.234046713884098,0.393242689492801,0.30329699232333,0.0411941758547632,0.232741030104914,0.394548373271984
38,ISERE,1217,0.253666025208757,0.200127702101015,0.307204348316498,0.30329699232333,0.0277728614035987,0.199177937829602,0.308154112587912
39,JURA,269,0.274455205284998,0.157153565520594,0.391756845049402,0.30329699232333,0.0560357645064936,0.164127026097915,0.384783384472081
40,LANDES,326,0.217181680744262,0.120431447451182,0.313931914037343,0.30329699232333,0.0492176008972154,0.120355265906775,0.314008095581749
41,LOIR-ET-CHER,357,0.248244008594697,0.148413868696371,0.348074148493023,0.30329699232333,0.053016313989058,0.143978473089215,0.35250954410018
42,LOIRE,901,0.274564014704635,0.21103256759498,0.33809546181429,0.30329699232333,0.0327760887983983,0.210237457345994,0.338890572063276
44,LOIRE-ATLANTIQUE,1467,0.262631721285979,0.214251983610471,0.311011458961486,0.30329699232333,0.0248379204687782,0.213910039042598,0.31135340352936
45,LOIRET,706,0.358380923389956,0.285762590333192,0.430999256446721,0.30329699232333,0.0370458935931061,0.285647261251445,0.431114585528467
47,LOT-ET-GARONNE,319,0.266773212457124,0.160619521263244,0.372926903651004,0.30329699232333,0.0521013093462532,0.164265154567011,0.369281270347237
49,MAINE-ET-LOIRE,931,0.309678170150473,0.248948044818218,0.370408295482729,0.30329699232333,0.0315519476380148,0.247756815582824,0.371599524718122
50,MANCHE,566,0.291045136457188,0.212363184384326,0.36972708853005,0.30329699232333,0.0410949590452017,0.210327279802902,0.371762993111474
51,MARNE,676,0.325850569783723,0.255892024913566,0.39580911465388,0.30329699232333,0.035874350460007,0.255411645118168,0.396289494449278
52,HAUTE-MARNE,263,0.3479438173024,0.235878046950368,0.460009587654431,0.30329699232333,0.0549632087925059,0.239716052852646,0.456171581752154
53,MAYENNE,329,0.336149692266801,0.236908966800703,0.435390417732899,0.30329699232333,0.0528773505576192,0.232126983171361,0.440172401362241
54,MEURTHE-ET-MOSELLE,862,0.316307004098957,0.251874643942259,0.380739364255656,0.30329699232333,0.0318686835653505,0.253757502002207,0.378856506195707
55,MEUSE,238,0.243409245834369,0.122406014315996,0.364412477352741,0.30329699232333,0.0652831368208081,0.114797101917164,0.372021389751574
56,MORBIHAN,778,0.272201314059035,0.202572645811413,0.341829982306657,0.30329699232333,0.0349178113702593,0.203656751983051,0.340745876135019
57,MOSELLE,1274,0.31035089600368,0.255567308517142,0.365134483490219,0.30329699232333,0.028036987620221,0.255347072300369,0.365354719706991
58,NIEVRE,251,0.182978125613999,0.0572312525704918,0.308724998657507,0.30329699232333,0.064901114951367,0.0551529869663174,0.310803264261681
59,NORD,3668,0.358720346216897,0.327731352606673,0.38970933982712,0.30329699232333,0.0163442473278399,0.32667563029237,0.390765062141424
60,OISE,1008,0.238616053374187,0.179932175878643,0.297299930869731,0.30329699232333,0.0312328237608657,0.177327105658454,0.29990500108992
61,ORNE,357,0.333010965654719,0.238758380956835,0.427263550352603,0.30329699232333,0.0497579215336967,0.235153609230026,0.430868322079412
