dep,pop_dep,unemp_dep,foreign_dep,single_dep,highschool_dep,density_dep,lmean_wage_dep,gini_dep,theil_dep,sharetop1_dep,museums_dep,cinemas_dep,higher_edu_dep,dist_edu_dep,participation_dep,nb_crime_dep,pct_crimes_dep,amenities_dep
01,471019,0.0411478793528198,0.0368171330807065,0.056411789322652,0.209571835025792,-1.2136111054172,9.45163088730826,0.507010712875854,0.805265304370695,0.0664944705311994,14,9,2.39789527279837,21.4710568770309,80.0400306753347,18370,0.0390005498716612,4.88303019623412e-05
02,537259,0.0735182147547434,0.0157798183890073,0.0638980297413254,0.155587001669585,-1.33800266845276,9.41725298120059,0.496995497816215,0.761796159035887,0.0638610755115773,15,10,2.70805020110221,16.4898708055235,81.1934215019129,26648,0.0495999136356953,4.65324917777087e-05
03,357710,0.0689828658890889,0.0173396068649821,0.0620740762267331,0.171866819487484,-1.62154892227462,9.36594875849138,0.49108198692079,0.780126137304731,0.0534396620225894,9,8,2.77258872223978,11.5885487288493,80.2541618529952,14789,0.0413435464482402,4.7524531044701e-05
04,130883,0.0635736481072524,0.0230901522406144,0.0617269076305221,0.23019280305987,-2.58460638265566,9.40181268299196,0.524617156957902,0.807777885061926,0.0655406508784704,9,12,1.6094379124341,30.0120336944975,79.674413231415,7622,0.0582352177135304,0.000160448644972991
05,113300,0.0494613972498355,0.0185191599413483,0.0673290749940856,0.235477941176471,-2.52113092679251,9.22555719110858,0.530279724086938,0.803239808790748,0.0566242390044618,2,15,1.6094379124341,24.3953309684845,79.7179860007439,6061,0.053495145631068,0.000150044130626655
06,971829,0.0612413306056966,0.0413060416130927,0.073051845619939,0.272035364801609,-0.0223077515302564,9.4482989127379,0.534333120426709,0.882743538637443,0.0672467337126455,33,25,4.04305126783455,4.69979248538368,75.5588524758729,99788,0.102680615622707,5.96812813776909e-05
07,277581,0.0566091698040668,0.0159925358788862,0.0610765843869937,0.182875642304579,-1.66246683998009,9.39116200257495,0.488927735952302,0.726250264271001,0.0614436469041744,8,8,1.94591014905531,22.9876474427317,81.0861219330925,9661,0.0348042553344789,5.76408327659314e-05
08,296357,0.078603511637403,0.0213769998886373,0.0717777400298209,0.148481876884933,-1.58218247153284,9.44916736682291,0.486836771500407,0.768997856410826,0.0635843965803749,8,3,1.94591014905531,18.5650477370495,78.4481649416621,14460,0.0487925036358176,3.71173955735819e-05
09,136455,0.0596670981720697,0.0331065634726086,0.0634588823770951,0.188563275161892,-2.21273924467117,9.37718352229379,0.482480522550929,0.695120972483336,0.052202821029782,6,3,1.6094379124341,21.5187283604207,81.5561879770111,4543,0.0332930270052398,6.59558096075629e-05
10,289207,0.0651464446718478,0.0235224161296568,0.0647940785727842,0.160264094572414,-1.68745311183523,9.35100039553843,0.512332453151657,0.822235902423737,0.0682940337868824,11,4,2.07944154167984,17.1574936947013,80.4796954183071,13822,0.0477927574367149,5.18659645167648e-05
11,298712,0.0812469099806042,0.0296134781892169,0.0644752158729607,0.186287585892523,-1.67197051277678,9.23364261368751,0.532627812184501,0.833286322310084,0.0598373986798108,9,7,2.56494935746154,14.0263094277339,82.7463214957407,19731,0.0660535900800771,5.35632984279172e-05
12,270141,0.0408889554866685,0.0155183232344044,0.0562131891474365,0.184081921957771,-2.14883419319495,9.37414988258196,0.481801791753355,0.750555779399372,0.058602339268798,11,13,2.56494935746154,24.9808218165801,83.4373472686943,6818,0.0252386716566534,8.88424933645763e-05
13,1759371,0.0910671119474589,0.0167783587584699,0.0797454171411778,0.257958046279214,0.27809670273672,9.50101975182131,0.523451746946194,0.845910096311988,0.0634254863708267,44,38,4.80402104473326,6.38725427424781,76.6199675005546,168190,0.0955966649444603,4.66075659994396e-05
