n,family_income_n_spatial_household_income_rank,child_rank,aum59
18,91,61.5555555555556,38.6981967942334
20,72,50.2,38.6981967942334
20,98,56.7,38.6981967942334
21,87,56.3809523809524,38.6981967942334
22,69,58.4090909090909,38.6981967942334
22,92,56.1363636363636,38.6981967942334
23,89,57.8695652173913,38.6981967942334
24,79,63.1666666666667,38.6981967942334
24,93,56.1666666666667,38.6981967942334
25,59,51.44,38.6981967942334
25,67,61.72,38.6981967942334
25,80,53.6,38.6981967942334
26,63,46.6538461538462,38.6981967942334
26,78,62.4230769230769,38.6981967942334
26,84,63.6153846153846,38.6981967942334
26,85,61.2307692307692,38.6981967942334
26,95,73.8076923076923,38.6981967942334
27,94,64.2222222222222,38.6981967942334
28,86,60.1428571428572,38.6981967942334
28,99,63.7857142857143,38.6981967942334
29,50,50.8965517241379,38.6981967942334
29,62,45.3103448275862,38.6981967942334
29,66,54.4827586206897,38.6981967942334
29,81,58.9310344827586,38.6981967942334
30,55,52.7666666666667,38.6981967942334
30,82,60.2,38.6981967942334
30,96,73.3,38.6981967942334
30,100,64.2666666666667,38.6981967942334
31,52,59.9032258064516,38.6981967942334
31,57,50.0322580645161,38.6981967942334
31,58,49.0322580645161,38.6981967942334
31,64,50.0967741935484,38.6981967942334
31,65,47.6774193548387,38.6981967942334
31,88,69.1612903225806,38.6981967942334
31,97,63.5483870967742,38.6981967942334
32,68,45.125,38.6981967942334
32,83,63.15625,38.6981967942334
33,44,47.8787878787879,38.6981967942334
33,73,46.2424242424242,38.6981967942334
33,74,53.5757575757576,38.6981967942334
33,90,60,38.6981967942334
34,54,44.2058823529412,38.6981967942334
34,61,44.4411764705882,38.6981967942334
35,10,35.0571428571429,38.6981967942334
35,49,55.5714285714286,38.6981967942334
35,53,48,38.6981967942334
35,77,63.0571428571429,38.6981967942334
36,43,52.8055555555556,38.6981967942334
36,70,49.8888888888889,38.6981967942334
36,75,55.0555555555556,38.6981967942334
36,76,60.8055555555556,38.6981967942334
37,14,38.0540540540541,38.6981967942334
37,46,40.1081081081081,38.6981967942334
38,5,29.5263157894737,38.6981967942334
38,18,35.5789473684211,38.6981967942334
38,45,44.7894736842105,38.6981967942334
38,51,53.0789473684211,38.6981967942334
39,4,32.3076923076923,38.6981967942334
39,20,39.5384615384615,38.6981967942334
39,60,51.8205128205128,38.6981967942334
40,7,31.625,38.6981967942334
40,15,36.925,38.6981967942334
40,37,51.9,38.6981967942334
41,3,30.0487804878049,38.6981967942334
41,71,55.7073170731707,38.6981967942334
42,30,41.6428571428571,38.6981967942334
42,32,44.952380952381,38.6981967942334
42,38,50.0238095238095,38.6981967942334
42,41,49.8809523809524,38.6981967942334
43,24,35.6744186046512,38.6981967942334
43,27,35.3953488372093,38.6981967942334
43,29,47.1627906976744,38.6981967942334
43,42,36.5116279069767,38.6981967942334
43,47,43.6511627906977,38.6981967942334
44,2,31.4772727272727,38.6981967942334
44,12,30.4318181818182,38.6981967942334
44,13,30.75,38.6981967942334
44,16,32.4545454545455,38.6981967942334
44,25,43.5681818181818,38.6981967942334
44,31,38.9545454545455,38.6981967942334
44,35,44.5227272727273,38.6981967942334
45,19,37.0888888888889,38.6981967942334
45,21,40.9777777777778,38.6981967942334
45,22,35.1777777777778,38.6981967942334
45,56,52.4888888888889,38.6981967942334
46,23,39.5652173913044,38.6981967942334
46,39,41.6739130434783,38.6981967942334
48,17,41.25,38.6981967942334
48,26,34.2291666666667,38.6981967942334
48,36,43.1666666666667,38.6981967942334
49,8,29.4081632653061,38.6981967942334
49,28,35.7551020408163,38.6981967942334
50,34,38.28,38.6981967942334
50,40,39.9,38.6981967942334
50,48,46.12,38.6981967942334
51,11,37.3333333333333,38.6981967942334
52,33,40.5576923076923,38.6981967942334
53,6,30.0377358490566,38.6981967942334
57,9,31.8421052631579,38.6981967942334
72,1,28.0833333333333,38.6981967942334
